pid,month,year,chapter,currency,amount
1,Dec,2000,Boston,USD,800
2,Dec,2000,Boston,USD,780
3,Dec,1998,Indiana,USD,625
3,Dec,1997,Indiana,USD,1800
4,Dec,2001,Arizona,USD,2500
4,Dec,2000,Silicon Valley,USD,2000
4,Dec,2000,Stanford,USD,2000
4,Dec,1999,Arizona,USD,5300
5,Dec,2004,Berkeley,USD,2000
5,Dec,2003,Berkeley,USD,1000
5,Dec,2002,Berkeley,USD,3000
5,Dec,2001,Berkeley,USD,4500
5,Dec,2000,Berkeley,USD,2600
5,Dec,1999,Berkeley,USD,3010
6,Dec,1994,Berkeley,USD,1300
7,Dec,1999,Silicon Valley,USD,3200
7,Dec,1998,Chicago,USD,2800
7,Dec,1998,Silicon Valley,USD,3200
8,Dec,1999,Cleveland,USD,250
9,Dec,1999,Cleveland,USD,1000
10,Dec,1998,Austin,USD,800
11,Dec,2002,St. Louis,USD,1500
11,Dec,2000,St. Louis,USD,1500
12,Dec,1995,Arizona,USD,1000
13,Oct,2007,Yale,USD,5000
13,Aug,2007,Yale,USD,5000
13,Feb,2007,Yale,USD,5000
13,Dec,2004,Yale,USD,1500
13,Dec,2000,Yale,USD,500
14,Dec,2002,Syracuse,USD,3814
14,Dec,2002,Stanford,USD,4500
14,Dec,2002,Irvine,USD,1500
14,Dec,2001,Irvine,USD,1500
14,Dec,2001,Syracuse,USD,3200
14,Dec,2000,Irvine,USD,1500
14,Dec,2000,Syracuse,USD,1920
15,Dec,1998,Seattle,USD,1500
16,Dec,1999,Arizona,USD,6500
17,Dec,2001,Seattle,USD,45
17,Dec,2000,Seattle,USD,8600
17,Dec,1999,Seattle,USD,3000
17,Dec,1998,Seattle,USD,3000
18,Jan,2024,Chicago,USD,3827
18,Apr,2023,Chicago,USD,3874
18,Jun,2022,Chicago,USD,7489
18,Oct,2021,Chicago,USD,5367
18,Aug,2021,Chicago,USD,393
18,Aug,2020,Chicago,USD,3544
18,Nov,2019,Chicago,USD,8824
18,Jul,2018,Chicago,USD,6836
18,Nov,2017,Chicago,USD,3281
18,May,2017,Chicago,USD,3315
18,Oct,2016,Chicago,USD,2682
18,Apr,2016,Chicago,USD,4842
18,May,2015,Chicago,USD,2138
18,Nov,2014,Chicago,USD,3868
18,May,2014,Chicago,USD,3953
18,Nov,2013,Chicago,USD,0
18,Nov,2013,Chicago,USD,3267
18,Jul,2013,Chicago,USD,7169
18,Apr,2013,Chicago,USD,3514
18,Nov,2011,Chicago,USD,3150
18,Jul,2011,Chicago,USD,4140
18,May,2011,Chicago,USD,2262
18,Nov,2010,Chicago,USD,2243
18,Jun,2010,Chicago,USD,4480
18,Dec,2009,Chicago,USD,2146
18,Sep,2009,Chicago,USD,2087
18,Jul,2009,Chicago,USD,2026
18,Mar,2009,Chicago,USD,1933
18,Dec,2008,Chicago,USD,1804
18,Aug,2008,Chicago,USD,2038
18,Jun,2008,Chicago,USD,2084
18,Apr,2008,Chicago,USD,2240
18,Jan,2008,Chicago,USD,1348
18,Aug,2007,Chicago,USD,1052
18,Apr,2007,Chicago,USD,2103
18,Dec,2006,Chicago,USD,2000
18,Dec,2006,Chicago,USD,2100
18,Dec,2005,Seattle,USD,4800
18,Jun,2004,Chicago,USD,2600
18,Dec,2003,Seattle,USD,2620
18,Sep,2003,Chicago,USD,1500
18,Sep,2003,Chicago,USD,5370
18,Jun,2002,Seattle,USD,2500
18,Jun,2002,Chicago,USD,5300
18,Dec,2001,Chicago,USD,5850
18,Jun,2000,Chicago,USD,5200
18,Jun,2000,Seattle,USD,2600
19,Dec,2001,General Funds,USD,2500
19,Dec,2000,DC,USD,460
19,Dec,1999,Boston,USD,1200
19,Dec,1999,Seattle,USD,1000
19,Dec,1999,Silicon Valley,USD,2560
20,Dec,2001,General Funds,USD,22196
20,Dec,1999,DC,USD,3000
20,Dec,1998,Berkeley,USD,450
20,Dec,1998,Cleveland,USD,1500
20,Dec,1996,Berkeley,USD,300
21,Dec,2002,Silicon Valley,USD,15556
21,Dec,2000,Seattle,USD,3000
21,Dec,2000,Dallas,USD,4300
21,Dec,2000,General Funds,USD,5500
21,Dec,2000,Silicon Valley,USD,3400
21,Dec,1999,Work an Hour,USD,10000
22,Dec,2009,DC,USD,4500
22,Feb,2009,DC,USD,4215
22,Sep,2008,DC,INR,75
22,Sep,2008,DC,INR,75000
22,Apr,2008,DC,INR,225000
22,Jan,2008,DC,INR,46
22,Jan,2007,DC,INR,46000
22,Dec,2006,DC,USD,2183
22,Sep,2006,DC,USD,2183
22,Jul,2004,DC,USD,3220
22,Dec,2003,Boston,USD,600
22,Dec,2002,Boston,USD,250
22,Dec,2000,Seattle,USD,5000
22,Dec,1999,Boston,USD,800
22,Dec,1999,Boston,USD,10000
22,Dec,1999,Cornell,USD,200
24,Dec,1999,Chicago,USD,600
24,Dec,1998,Cornell,USD,1700
24,Dec,1997,Cornell,USD,1745
24,Dec,1997,Delaware,USD,500
25,Apr,2024,Seattle,USD,29793
25,May,2021,Seattle,USD,17241
25,May,2021,Seattle,USD,4989
25,Nov,2020,Seattle,USD,4883
25,Apr,2020,Seattle,USD,15026
25,May,2019,Seattle,USD,12301
25,Nov,2018,Seattle,USD,7938
25,Aug,2018,Seattle,USD,16868
25,Aug,2017,Seattle,USD,26260
25,May,2016,Seattle,USD,13974
25,May,2015,Seattle,USD,13426
25,Dec,2013,Seattle,USD,6114
25,Jan,2013,Seattle,USD,6570
25,Dec,2011,Seattle,USD,5280
25,Dec,2011,Seattle,USD,1500
25,Nov,2010,Seattle,USD,7920
25,Nov,2009,Seattle,USD,7220
25,Dec,2008,Seattle,USD,6886
25,Nov,2007,Seattle,USD,6776
25,Oct,2006,Seattle,USD,3388
25,Jul,2006,Seattle,USD,3388
25,Nov,2005,Seattle,USD,7476
25,Jun,2004,Seattle,USD,6776
25,Sep,2003,Seattle,USD,3000
25,Apr,2003,Seattle,USD,3000
25,Oct,2002,Seattle,USD,6000
25,Nov,2001,Seattle,USD,6100
25,Nov,2000,Seattle,USD,6000
25,Dec,1999,Boston,USD,10000
25,Nov,1998,Seattle,USD,6000
26,Dec,2002,Yale,USD,2000
26,Dec,1998,Indiana,USD,2000
27,May,2025,Seattle,USD,85288
27,May,2024,Seattle,USD,87121
27,Aug,2023,Seattle,USD,976
27,Apr,2023,Seattle,USD,88499
27,Mar,2022,Seattle,USD,105650
27,Mar,2022,Seattle,USD,5027
27,Jul,2021,Seattle,USD,107638
27,Nov,2020,Seattle,USD,9875
27,Apr,2020,Seattle,USD,96933
27,Apr,2019,Seattle,USD,105362
27,Jun,2018,Seattle,USD,107446
27,Dec,2017,Seattle,USD,34478
27,Aug,2017,Seattle,USD,115352
27,Nov,2016,Seattle,USD,100153
27,Jul,2015,Seattle,USD,96065
27,Sep,2014,Seattle,USD,83339
27,Apr,2014,Seattle,USD,92330
27,Mar,2014,Seattle,USD,6057
27,Jul,2013,Seattle,USD,94296
27,Mar,2013,Seattle,USD,97625
27,Mar,2012,Seattle,USD,70125
27,Jul,2011,Seattle,USD,1200
27,May,2011,Seattle,USD,33900
27,Nov,2010,Seattle,USD,33000
27,Oct,2010,Seattle,USD,34100
27,Oct,2010,Seattle,USD,33975
27,May,2010,Seattle,USD,34000
27,Dec,2009,Seattle,USD,33825
27,Sep,2009,Seattle,USD,30000
27,Jun,2009,Seattle,USD,42500
27,Dec,2008,Seattle,USD,65286
27,Aug,2008,Seattle,USD,73500
27,Dec,2007,Seattle,USD,68100
27,Aug,2007,Seattle,USD,63000
27,Jun,2007,Seattle,USD,63000
27,Dec,2005,Seattle,USD,126000
27,Oct,2004,Seattle,USD,25000
27,Apr,2004,Seattle,USD,25000
27,Dec,2003,Seattle,USD,25000
27,Dec,2003,Seattle,USD,25000
