pid,Status,Project Address,Tel,Stewarding Chapter,Extracted State
1, completed - requirements ended  ," , ,,,Uttar Pradesh   ",   ,"",UTTAR PRADESH
2, completed - things went wrong  ," , ,,,Maharashtra   ",   ,"",MAHARASHTRA
3, completed - requirements ended  ," , ,,,Haryana   ",   ,"",HARYANA
4, completed - sustainable  ," , ,,Bhaiswa,Bihar   ",   ,"",BIHAR
5, completed - requirements ended  ," , Resource Center for Disabled Persons,3439, 4th cross, II Stage,Indira Nagar,Karnataka  560038 ", 080-5252480  ,"",KARNATAKA
6, completed - requirements ended  ," , ,,Near Nagpur,Madhya Pradesh   ",   ,"",MADHYA PRADESH
7, completed - requirements ended  ," , No.1, VGN Nagar, Iyypanthangle , P.O. Kattupakkam,,Chennai,Jharkhand  600056 ",   ,"",JHARKHAND
8, completed - requirements ended  ," , ,,Beleghata,West Bengal   ",   ,"",WEST BENGAL
11, completed - requirements ended  ," , C-76, Bathla Apts,43, I.P. Ext.,Delhi,Delhi  110092 "," (91)-(11) 2722593, 2725180  ","",DELHI
12, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
13, completed - requirements ended  ," , 7B Mandeville Gardens,,Kolkata,West Bengal  700019 ",   ,"",WEST BENGAL
14, completed - requirements ended  ," , c/o Dr. Shashi Rao,233 6th Main, 4th Block,Jayanagar,Karnataka  560 011 ",   ,"",KARNATAKA
15, completed - things went wrong  ," , ,,Lucknow,Uttar Pradesh   ",   ,"",UTTAR PRADESH
16, completed - requirements ended  ," , ,,,Jharkhand  825401 ",   ,"",JHARKHAND
17, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
18, current / ongoing  ," , c/o K.T. Meril, Jerusalem Colony,Behind Karnataka College,Bidar,Karnataka  585401 ", 91-08482-224160  ,"",KARNATAKA
19, completed - requirements ended  ," , ,,,Tamil Nadu   ", 044-26264837  ,"",TAMIL NADU
20, completed - sustainable  ," , "" ASHA "" C/o Vijay Kumar Pandey , V.+P. Reoti ( South ),,BALLIA,Uttar Pradesh  227209 "," 91+5494+260425,260277  ","",UTTAR PRADESH
22, completed - requirements ended  ," , Lalpur Village,Post Atrauli,,Uttar Pradesh   "," 0522-2347365, 9415022772. Do n  ","",UTTAR PRADESH
25, current / ongoing  ," , Basti Vikas Kendra,Bal Mukund Khand,Giri Nagar,Kalkaji,New Delhi,Delhi  110019 ", 011-26449026  ,"",DELHI
26, completed - requirements ended  ," , ,,,Pondicherry   ",   ,"",PUDUCHERRY
