pid,year,chapter,currency,yearly_total
1,2000,Boston,USD,800.0
2,2000,Boston,USD,780.0
3,1997,Indiana,USD,1800.0
3,1998,Indiana,USD,625.0
4,1999,Arizona,USD,5300.0
4,2000,Stanford,USD,2000.0
4,2000,Silicon Valley,USD,2000.0
4,2001,Arizona,USD,2500.0
5,1999,Berkeley,USD,3010.0
5,2000,Berkeley,USD,2600.0
5,2001,Berkeley,USD,4500.0
5,2002,Berkeley,USD,3000.0
5,2003,Berkeley,USD,1000.0
5,2004,Berkeley,USD,2000.0
6,1994,Berkeley,USD,1300.0
7,1998,Chicago,USD,2800.0
7,1998,Silicon Valley,USD,3200.0
7,1999,Silicon Valley,USD,3200.0
8,1999,Cleveland,USD,250.0
9,1999,Cleveland,USD,1000.0
10,1998,Austin,USD,800.0
11,2000,St. Louis,USD,1500.0
11,2002,St. Louis,USD,1500.0
12,1995,Arizona,USD,1000.0
13,2000,Yale,USD,500.0
13,2004,Yale,USD,1500.0
13,2007,Yale,USD,15000.0
14,2000,Irvine,USD,1500.0
14,2000,Syracuse,USD,1920.0
14,2001,Irvine,USD,1500.0
14,2001,Syracuse,USD,3200.0
14,2002,Irvine,USD,1500.0
14,2002,Stanford,USD,4500.0
14,2002,Syracuse,USD,3814.0
15,1998,Seattle,USD,1500.0
16,1999,Arizona,USD,6500.0
17,1998,Seattle,USD,3000.0
17,1999,Seattle,USD,3000.0
17,2000,Seattle,USD,8600.0
17,2001,Seattle,USD,45.0
18,2000,Chicago,USD,5200.0
18,2000,Seattle,USD,2600.0
18,2001,Chicago,USD,5850.0
18,2002,Seattle,USD,2500.0
18,2002,Chicago,USD,5300.0
18,2003,Chicago,USD,6870.0
18,2003,Seattle,USD,2620.0
18,2004,Chicago,USD,2600.0
18,2005,Seattle,USD,4800.0
18,2006,Chicago,USD,4100.0
18,2007,Chicago,USD,3155.0
18,2008,Chicago,USD,9514.0
18,2009,Chicago,USD,8192.0
18,2010,Chicago,USD,6723.0
18,2011,Chicago,USD,9552.0
18,2013,Chicago,USD,13950.0
18,2014,Chicago,USD,7821.0
18,2015,Chicago,USD,2138.0
18,2016,Chicago,USD,7524.0
18,2017,Chicago,USD,6596.0
18,2018,Chicago,USD,6836.0
18,2019,Chicago,USD,8824.0
18,2020,Chicago,USD,3544.0
18,2021,Chicago,USD,5760.0
18,2022,Chicago,USD,7489.0
18,2023,Chicago,USD,3874.0
18,2024,Chicago,USD,3827.0
19,1999,Seattle,USD,1000.0
19,1999,Silicon Valley,USD,2560.0
19,1999,Boston,USD,1200.0
19,2000,DC,USD,460.0
19,2001,General Funds,USD,2500.0
20,1996,Berkeley,USD,300.0
20,1998,Berkeley,USD,450.0
20,1998,Cleveland,USD,1500.0
20,1999,DC,USD,3000.0
20,2001,General Funds,USD,22196.0
21,1999,Work an Hour,USD,10000.0
21,2000,General Funds,USD,5500.0
21,2000,Dallas,USD,4300.0
21,2000,Silicon Valley,USD,3400.0
21,2000,Seattle,USD,3000.0
21,2002,Silicon Valley,USD,15556.0
22,1999,Cornell,USD,200.0
22,1999,Boston,USD,10800.0
22,2000,Seattle,USD,5000.0
22,2002,Boston,USD,250.0
22,2003,Boston,USD,600.0
22,2004,DC,USD,3220.0
22,2006,DC,USD,4366.0
22,2007,DC,INR,46000.0
22,2008,DC,INR,300121.0
22,2009,DC,USD,8715.0
24,1997,Cornell,USD,1745.0
24,1997,Delaware,USD,500.0
24,1998,Cornell,USD,1700.0
24,1999,Chicago,USD,600.0
25,1998,Seattle,USD,6000.0
25,1999,Boston,USD,10000.0
25,2000,Seattle,USD,6000.0
25,2001,Seattle,USD,6100.0
25,2002,Seattle,USD,6000.0
25,2003,Seattle,USD,6000.0
25,2004,Seattle,USD,6776.0
25,2005,Seattle,USD,7476.0
25,2006,Seattle,USD,6776.0
25,2007,Seattle,USD,6776.0
25,2008,Seattle,USD,6886.0
25,2009,Seattle,USD,7220.0
25,2010,Seattle,USD,7920.0
25,2011,Seattle,USD,6780.0
25,2013,Seattle,USD,12684.0
25,2015,Seattle,USD,13426.0
25,2016,Seattle,USD,13974.0
25,2017,Seattle,USD,26260.0
25,2018,Seattle,USD,24806.0
25,2019,Seattle,USD,12301.0
25,2020,Seattle,USD,19909.0
25,2021,Seattle,USD,22230.0
25,2024,Seattle,USD,29793.0
26,1998,Indiana,USD,2000.0
26,2002,Yale,USD,2000.0
27,1999,Silicon Valley,USD,10000.0
27,2000,Seattle,USD,40800.0
27,2001,Seattle,USD,16900.0
27,2002,Seattle,USD,33000.0
27,2003,Seattle,USD,50000.0
27,2004,Seattle,USD,50000.0
27,2005,Seattle,USD,126000.0
27,2007,Seattle,USD,194100.0
27,2008,Seattle,USD,138786.0
27,2009,Seattle,USD,106325.0
27,2010,Seattle,USD,135075.0
27,2011,Seattle,USD,35100.0
27,2012,Seattle,USD,70125.0
27,2013,Seattle,USD,191921.0
27,2014,Seattle,USD,181726.0
27,2015,Seattle,USD,96065.0
27,2016,Seattle,USD,100153.0
27,2017,Seattle,USD,149830.0
27,2018,Seattle,USD,107446.0
27,2019,Seattle,USD,105362.0
27,2020,Seattle,USD,106808.0
27,2021,Seattle,USD,107638.0
27,2022,Seattle,USD,110677.0
27,2023,Seattle,USD,89475.0
27,2024,Seattle,USD,87121.0
28,1998,DC,USD,1000.0
28,2000,DC,USD,1000.0
29,1999,Cornell,USD,500.0
30,1999,UIUC,USD,1030.0
30,2000,UIUC,USD,1230.0
30,2001,UIUC,USD,1410.0
31,1998,St. Louis,USD,750.0
32,1998,Detroit,USD,580.0
33,2000,Silicon Valley,USD,16948.0
33,2001,Silicon Valley,USD,2560.0
33,2002,Silicon Valley,USD,12500.0
33,2002,UIUC,USD,2200.0
33,2003,Houston,USD,30645.0
33,2005,Toledo,USD,4884.0
33,2006,Toledo,USD,18000.0
33,2007,Toledo,USD,5000.0
33,2007,Atlanta,USD,5600.0
33,2011,Atlanta,USD,1600.0
34,1997,Berkeley,USD,800.0
34,2003,Corvallis,USD,4000.0
34,2003,Cleveland,USD,2440.0
35,1999,Seattle,USD,9300.0
35,1999,Boston,USD,1750.0
35,1999,Work an Hour,USD,10000.0
35,2000,Seattle,USD,3150.0
35,2001,Seattle,USD,43900.0
35,2002,Seattle,USD,32500.0
35,2003,Seattle,USD,35000.0
35,2004,Seattle,USD,29500.0
35,2005,Seattle,USD,39500.0
35,2006,Seattle,USD,53500.0
35,2007,Seattle,USD,59414.0
35,2008,Seattle,USD,59807.0
35,2009,Seattle,USD,57790.0
35,2010,Seattle,USD,63225.0
35,2011,Seattle,USD,60875.0
35,2012,Seattle,USD,55380.0
35,2013,Seattle,USD,51887.0
35,2014,Seattle,USD,55914.0
35,2015,Seattle,USD,52942.0
35,2016,Seattle,USD,53444.0
35,2017,Seattle,USD,61196.0
35,2018,Seattle,USD,54967.0
35,2019,Seattle,USD,54635.0
35,2020,Seattle,USD,48441.0
35,2021,Seattle,USD,54822.0
35,2022,Seattle,USD,52926.0
