state,year,state_total_amount,total_amount,percentage,Population,% of Total
ANDAMAN AND NICOBAR ISLANDS,2005,2680.0,1489248.0,0.17995659554352264,380581,0.03
ANDHRA PRADESH,1995,3000.0,29722.0,10.093533409595585,49577103,4.1
ANDHRA PRADESH,1996,4000.0,44636.0,8.961376467425398,49577103,4.1
ANDHRA PRADESH,1997,9430.0,87410.0,10.788239331884224,49577103,4.1
ANDHRA PRADESH,1998,4600.0,108275.0,4.24844146848303,49577103,4.1
ANDHRA PRADESH,1999,29316.0,414817.0,7.067212770932725,49577103,4.1
ANDHRA PRADESH,2000,45058.0,528565.0,8.524590163934425,49577103,4.1
ANDHRA PRADESH,2001,60554.0,767448.0,7.8903065745171,49577103,4.1
ANDHRA PRADESH,2002,75790.0,823818.0,9.199847539140926,49577103,4.1
ANDHRA PRADESH,2003,125526.0,942333.0,13.320768772822348,49577103,4.1
ANDHRA PRADESH,2004,128625.0,1053399.0,12.210472954692381,49577103,4.1
ANDHRA PRADESH,2005,69644.0,1489248.0,4.676454156728766,49577103,4.1
ANDHRA PRADESH,2006,113190.0,1230346.0,9.1998510987966,49577103,4.1
ANDHRA PRADESH,2007,153704.0,2323618.0,6.614856658882829,49577103,4.1
ANDHRA PRADESH,2008,220735.0,3092634.0,7.137443357345227,49577103,4.1
ANDHRA PRADESH,2009,182541.0,2414781.0,7.559319043838758,49577103,4.1
ANDHRA PRADESH,2010,202621.0,3033269.0,6.67995486058111,49577103,4.1
ANDHRA PRADESH,2011,97336.0,2303901.0,4.224834313627191,49577103,4.1
ANDHRA PRADESH,2012,135677.0,1898166.0,7.147794239281496,49577103,4.1
ANDHRA PRADESH,2013,190272.0,2560046.0,7.432366449665357,49577103,4.1
ANDHRA PRADESH,2014,120110.0,2848928.0,4.215971762010132,49577103,4.1
ANDHRA PRADESH,2015,221691.0,2955749.0,7.500332403055874,49577103,4.1
ANDHRA PRADESH,2016,246161.0,3744826.0,6.57336282112974,49577103,4.1
ANDHRA PRADESH,2017,244402.0,4304886.0,5.677316426033117,49577103,4.1
ANDHRA PRADESH,2018,152310.0,3622848.0,4.204150988393661,49577103,4.1
ANDHRA PRADESH,2019,110256.0,3273488.0,3.3681504254788774,49577103,4.1
ANDHRA PRADESH,2020,116491.0,3240754.0,3.5945647216666243,49577103,4.1
ANDHRA PRADESH,2021,150274.0,3258459.0,4.611811902497469,49577103,4.1
ANDHRA PRADESH,2022,135932.0,3000077.0,4.530950372273778,49577103,4.1
ANDHRA PRADESH,2023,126805.0,3032802.0,4.181117000054735,49577103,4.1
ANDHRA PRADESH,2024,129575.0,3226586.0,4.01585452859462,49577103,4.1
ASSAM,2000,4820.0,528565.0,0.9119029826038424,31205576,2.58
ASSAM,2001,10870.0,767448.0,1.4163826083330726,31205576,2.58
ASSAM,2002,4800.0,823818.0,0.5826529646111156,31205576,2.58
ASSAM,2003,21536.0,942333.0,2.2853916821335982,31205576,2.58
ASSAM,2004,21103.0,1053399.0,2.00332447629056,31205576,2.58
ASSAM,2005,43273.0,1489248.0,2.905694686177185,31205576,2.58
ASSAM,2006,46052.0,1230346.0,3.7430121282956175,31205576,2.58
ASSAM,2007,64577.0,2323618.0,2.779157331368581,31205576,2.58
ASSAM,2008,151915.0,3092634.0,4.912155786944075,31205576,2.58
ASSAM,2009,30577.0,2414781.0,1.2662431914115608,31205576,2.58
ASSAM,2010,102636.0,3033269.0,3.3836761592855757,31205576,2.58
ASSAM,2011,49530.0,2303901.0,2.149831958925318,31205576,2.58
ASSAM,2012,48593.0,1898166.0,2.5599973869514048,31205576,2.58
ASSAM,2013,43314.0,2560046.0,1.6919227232635663,31205576,2.58
ASSAM,2014,85162.0,2848928.0,2.9892647339630907,31205576,2.58
ASSAM,2015,119006.0,2955749.0,4.026255274043906,31205576,2.58
ASSAM,2016,131519.0,3744826.0,3.5120189829914663,31205576,2.58
ASSAM,2017,78738.0,4304886.0,1.8290379814935864,31205576,2.58
ASSAM,2018,154218.0,3622848.0,4.256816736446022,31205576,2.58
ASSAM,2019,89333.0,3273488.0,2.7289851070173463,31205576,2.58
ASSAM,2020,117737.0,3240754.0,3.6330125643600226,31205576,2.58
ASSAM,2021,96334.0,3258459.0,2.95642817663196,31205576,2.58
ASSAM,2022,107250.0,3000077.0,3.5749082440217372,31205576,2.58
ASSAM,2023,128404.0,3032802.0,4.23384052107589,31205576,2.58
ASSAM,2024,107884.0,3226586.0,3.3435959865938796,31205576,2.58
BIHAR,1998,2500.0,108275.0,2.308935580697298,104099452,8.6
BIHAR,1999,6550.0,414817.0,1.5790095391461776,104099452,8.6
BIHAR,2000,4000.0,528565.0,0.7567659606670892,104099452,8.6
BIHAR,2001,3550.0,767448.0,0.4625720569993016,104099452,8.6
BIHAR,2002,1533.0,823818.0,0.18608479057267502,104099452,8.6
BIHAR,2003,2000.0,942333.0,0.2122391978207279,104099452,8.6
BIHAR,2004,3303.0,1053399.0,0.3135564017053367,104099452,8.6
BIHAR,2005,4986.0,1489248.0,0.3347998452910462,104099452,8.6
BIHAR,2006,1360.0,1230346.0,0.11053801125862155,104099452,8.6
BIHAR,2007,7425.0,2323618.0,0.319544778875013,104099452,8.6
BIHAR,2008,37928.0,3092634.0,1.2263979507436056,104099452,8.6
BIHAR,2009,29469.0,2414781.0,1.2203591133108964,104099452,8.6
BIHAR,2010,29392.0,3033269.0,0.9689875840223863,104099452,8.6
BIHAR,2011,1200.0,2303901.0,0.05208557138522879,104099452,8.6
BIHAR,2012,27690.0,1898166.0,1.4587765242871276,104099452,8.6
BIHAR,2013,27436.0,2560046.0,1.071699492899737,104099452,8.6
BIHAR,2014,102730.0,2848928.0,3.605917734670725,104099452,8.6
BIHAR,2015,112100.0,2955749.0,3.7926089123264526,104099452,8.6
BIHAR,2016,25690.0,3744826.0,0.686013181920869,104099452,8.6
BIHAR,2017,48862.0,4304886.0,1.1350358638997642,104099452,8.6
BIHAR,2018,25297.0,3622848.0,0.6982628031868849,104099452,8.6
BIHAR,2019,48046.0,3273488.0,1.4677310562922485,104099452,8.6
BIHAR,2020,50570.0,3240754.0,1.5604393298596562,104099452,8.6
BIHAR,2021,79620.0,3258459.0,2.4434863228292882,104099452,8.6
BIHAR,2022,67257.0,3000077.0,2.2418424593768758,104099452,8.6
BIHAR,2023,87090.0,3032802.0,2.8716019047732098,104099452,8.6
BIHAR,2024,40541.0,3226586.0,1.2564673620972755,104099452,8.6
BIHAR,2025,21694.0,561733.0,3.8619771314841747,104099452,8.6
CHHATTISGARH,2006,10020.0,1230346.0,0.8144050535377854,25545198,2.11
