state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDAMAN AND NICOBAR ISLANDS,All Chapters,2005,2680.0,1294092.0,0.20709501333753705,6.903167111251236
ANDAMAN AND NICOBAR ISLANDS,Seattle,2005,2680.0,1294092.0,0.20709501333753705,6.903167111251236
ANDHRA PRADESH,All Chapters,1995,6000.0,19002.0,31.575623618566468,7.701371614284505
ANDHRA PRADESH,NYC/NJ,1995,3000.0,3000.0,100.0,24.390243902439025
ANDHRA PRADESH,Stanford,1995,3000.0,16002.0,18.747656542932134,4.572599156812716
ANDHRA PRADESH,All Chapters,1996,8000.0,33565.0,23.834351258751678,5.813256404573581
ANDHRA PRADESH,NYC/NJ,1996,4000.0,12000.0,33.33333333333333,8.130081300813007
ANDHRA PRADESH,Stanford,1996,4000.0,21565.0,18.548574078367725,4.52404245813847
ANDHRA PRADESH,All Chapters,1997,37720.0,102988.0,36.625626286557655,8.933079582087233
ANDHRA PRADESH,Arizona,1997,9430.0,17966.0,52.48803295112992,12.801959256373152
ANDHRA PRADESH,Boston,1997,9430.0,54362.0,17.346675986902614,4.230896582171369
ANDHRA PRADESH,Cleveland,1997,9430.0,9430.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,1997,9430.0,21230.0,44.41827602449364,10.833725859632597
ANDHRA PRADESH,All Chapters,1998,9200.0,76678.0,11.998226349148387,2.926396670523997
ANDHRA PRADESH,Arizona,1998,4600.0,50890.0,9.039103949695422,2.2046594999257128
ANDHRA PRADESH,NYC/NJ,1998,4600.0,25788.0,17.837753994105785,4.35067170587946
ANDHRA PRADESH,All Chapters,1999,175896.0,1370985.0,12.829899670674733,3.1292438221157886
ANDHRA PRADESH,Arizona,1999,29316.0,238681.0,12.28250258713513,2.995732338325642
ANDHRA PRADESH,Boston,1999,29316.0,332041.0,8.829030149891128,2.1534219877783243
ANDHRA PRADESH,Corvallis,1999,29316.0,29316.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,1999,29316.0,196216.0,14.9406776205814,3.6440677123369274
ANDHRA PRADESH,Seattle,1999,29316.0,304236.0,9.635940519859583,2.350229395087703
ANDHRA PRADESH,Silicon Valley,1999,29316.0,270495.0,10.83790827926579,2.6433922632355586
