Rank,state,Population,% of Total,Growth (2001-2012),2023 Population Estimate,Rural Population,Urban Population,Density,Sex Ratio
1,UTTAR PRADESH,199812341,16.51,20.2%,235687000,155317278,44595063,828.0,912
2,MAHARASHTRA,112374333,9.28,16%,126385000,61556074,50819259,365.0,929
3,BIHAR,104099452,8.6,25.4%,126756000,92341436,1176016,1102.0,918
4,WEST BENGAL,91276115,7.54,13.8%,99084000,62183113,29093002,1029.0,953
5,MADHYA PRADESH,72626809,6.0,20.3%,86579000,52557404,20069405,236.0,931
6,TAMIL NADU,72147030,5.96,15.6%,76860000,37229590,34974440,555.0,996
7,RAJASTHAN,68548437,5.66,21.3%,81025000,51500352,17048085,201.0,928
8,KARNATAKA,61095297,5.05,15.6%,67692000,37469335,23629962,319.0,973
9,GUJARAT,60439692,4.99,19.3%,71507000,34694609,25745083,308.0,919
10,ANDHRA PRADESH,49577103,4.1,11.0%,53156000,34966693,14610410,303.0,993
11,ODISHA,41974219,3.47,14.0%,46276000,34970562,7003656,269.0,1063
12,TELANGANA,35003674,2.89,13.58%,38090000,21395009,13608665,312.0,988
13,KERALA,33406061,2.76,4.9%,35776000,17471135,15934926,859.0,1084
14,JHARKHAND,32988134,2.73,22.4%,39466000,25055173,7933061,414.0,948
15,ASSAM,31205576,2.58,17.1%,35713000,26807334,4398542,398.0,958
16,PUNJAB,27743338,2.29,13.89%,30730000,17344192,10399146,551.0,895
17,CHHATTISGARH,25545198,2.11,22.6%,30180000,19607961,5937237,189.0,991
18,HARYANA,25351462,2.09,19.9%,30209000,16509359,8842103,573.0,879
19,DELHI,16787941,1.39,21.2%,21359000,419042,16368999,11297.0,868
20,JAMMU AND KASHMIR,12267032,1.01,23.6%,13603000,9064220,3202812,297.0,890
21,UTTARAKHAND,10086292,0.83,18.8%,11637000,7036954,3049338,189.0,963
22,HIMACHAL PRADESH,6864602,0.57,12.9%,7468000,6176050,688552,123.0,972
23,TRIPURA,3673917,0.3,14.8%,4147000,2712464,961453,350.0,960
24,MEGHALAYA,2966889,0.25,27.9%,3349000,2371439,595450,132.0,989
25,MANIPUR,2570390,0.21,24.5%,3223000,1793875,776515,122.0,992
26,NAGALAND,1978502,0.16,-0.6%,2233000,1407536,570966,119.0,931
27,GOA,1458545,0.12,8.2%,1575000,551731,906814,394.0,973
28,ARUNACHAL PRADESH,1383727,0.11,26.0%,1562000,1066358,317369,17.0,938
29,PUDUCHERRY,1247953,0.1,28.1%,1646000,395200,852753,2598.0,1037
30,MIZORAM,1097206,0.09,23.5%,1238000,525435,577171,52.0,976
31,CHANDIGARH,1055450,0.09,17.2%,1231000,28991,1026459,9252.0,818
32,SIKKIM,610577,0.05,12.9%,689000,456999,153578,86.0,890
33,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,585764,0.05,55.1%,1263000,243510,342254,970.0,711
34,ANDAMAN AND NICOBAR ISLANDS,380581,0.03,6.9%,403000,237093,143488,46.0,876
35,LADAKH,274000,0.02,17.8%,300000,43840,230160,2.8,853
36,LAKSHADWEEP,64473,0.01,6.3%,69000,14141,50332,2013.0,946
