year,state,chapter,yearly_total
2005,ANDAMAN AND NICOBAR ISLANDS,Seattle,2680.0
1995,ANDHRA PRADESH,Stanford,1500.0
1995,ANDHRA PRADESH,NYC/NJ,1500.0
1996,ANDHRA PRADESH,Stanford,1500.0
1996,ANDHRA PRADESH,NYC/NJ,2500.0
1997,ANDHRA PRADESH,Cleveland,1500.0
1997,ANDHRA PRADESH,Arizona,1500.0
1997,ANDHRA PRADESH,NYC/NJ,2500.0
1997,ANDHRA PRADESH,Arizona,1500.0
1997,ANDHRA PRADESH,Boston,880.0
1997,ANDHRA PRADESH,Boston,1550.0
1998,ANDHRA PRADESH,Arizona,2100.0
1998,ANDHRA PRADESH,NYC/NJ,2500.0
1999,ANDHRA PRADESH,Boston,2700.0
1999,ANDHRA PRADESH,Boston,2000.0
1999,ANDHRA PRADESH,Arizona,2350.0
1999,ANDHRA PRADESH,Seattle,1680.0
1999,ANDHRA PRADESH,Corvallis,1436.0
1999,ANDHRA PRADESH,Arizona,900.0
1999,ANDHRA PRADESH,NYC/NJ,5250.0
1999,ANDHRA PRADESH,Silicon Valley,10000.0
1999,ANDHRA PRADESH,Boston,3000.0
2000,ANDHRA PRADESH,Delaware,2000.0
2000,ANDHRA PRADESH,NYC/NJ,5000.0
2000,ANDHRA PRADESH,Work an Hour,5350.0
2000,ANDHRA PRADESH,Silicon Valley,16948.0
2000,ANDHRA PRADESH,Arizona,2700.0
2000,ANDHRA PRADESH,Seattle,7800.0
2000,ANDHRA PRADESH,NYC/NJ,4750.0
2000,ANDHRA PRADESH,Corvallis,510.0
2001,ANDHRA PRADESH,Silicon Valley,2560.0
2001,ANDHRA PRADESH,Seattle,3100.0
2001,ANDHRA PRADESH,Work an Hour,5350.0
2001,ANDHRA PRADESH,Seattle,6084.0
2001,ANDHRA PRADESH,Seattle,1660.0
2001,ANDHRA PRADESH,Silicon Valley,21700.0
2001,ANDHRA PRADESH,Portland,1500.0
2001,ANDHRA PRADESH,Seattle,5000.0
2001,ANDHRA PRADESH,NYC/NJ,6100.0
2001,ANDHRA PRADESH,Delaware,5000.0
2001,ANDHRA PRADESH,Stanford,2500.0
2002,ANDHRA PRADESH,Berkeley,1200.0
2002,ANDHRA PRADESH,Portland,2000.0
2002,ANDHRA PRADESH,Seattle,4725.0
2002,ANDHRA PRADESH,Corvallis,1450.0
2002,ANDHRA PRADESH,NYC/NJ,2500.0
2002,ANDHRA PRADESH,Work an Hour,16447.0
2002,ANDHRA PRADESH,NYC/NJ,7000.0
2002,ANDHRA PRADESH,Delaware,4000.0
2002,ANDHRA PRADESH,Seattle,12168.0
2002,ANDHRA PRADESH,Silicon Valley,12500.0
2002,ANDHRA PRADESH,UIUC,2200.0
2002,ANDHRA PRADESH,Silicon Valley,7100.0
2002,ANDHRA PRADESH,Stanford,2500.0
2003,ANDHRA PRADESH,Berkeley,5056.0
2003,ANDHRA PRADESH,Seattle,41100.0
2003,ANDHRA PRADESH,Seattle,3000.0
2003,ANDHRA PRADESH,Silicon Valley,2625.0
2003,ANDHRA PRADESH,Delaware,1500.0
2003,ANDHRA PRADESH,Delaware,13851.0
2003,ANDHRA PRADESH,NYC/NJ,3716.0
2003,ANDHRA PRADESH,Seattle,6400.0
2003,ANDHRA PRADESH,Boston,6000.0
2003,ANDHRA PRADESH,CentralNJ,2620.0
2003,ANDHRA PRADESH,Houston,30645.0
2003,ANDHRA PRADESH,Seattle,9013.0
2004,ANDHRA PRADESH,Seattle,33500.0
2004,ANDHRA PRADESH,Boston,6400.0
2004,ANDHRA PRADESH,Seattle,4409.0
2004,ANDHRA PRADESH,Seattle,3500.0
2004,ANDHRA PRADESH,Berkeley,5000.0
2004,ANDHRA PRADESH,Silicon Valley,6761.0
2004,ANDHRA PRADESH,Delaware,3000.0
2004,ANDHRA PRADESH,Berkeley,3400.0
2004,ANDHRA PRADESH,Delaware,5000.0
2004,ANDHRA PRADESH,Silicon Valley,48655.0
2004,ANDHRA PRADESH,NYC/NJ,3500.0
2004,ANDHRA PRADESH,Toledo,5500.0
2005,ANDHRA PRADESH,Seattle,1750.0
2005,ANDHRA PRADESH,Delaware,1500.0
2005,ANDHRA PRADESH,NYC/NJ,13500.0
2005,ANDHRA PRADESH,Cornell,1000.0
2005,ANDHRA PRADESH,Berkeley,1500.0
2005,ANDHRA PRADESH,CentralNJ,6000.0
2005,ANDHRA PRADESH,Cincinnati,1000.0
2005,ANDHRA PRADESH,Toledo,1700.0
2005,ANDHRA PRADESH,Delaware,14225.0
2005,ANDHRA PRADESH,Seattle,1500.0
2005,ANDHRA PRADESH,Silicon Valley,6585.0
2005,ANDHRA PRADESH,Toledo,4884.0
2005,ANDHRA PRADESH,Boston,7000.0
2005,ANDHRA PRADESH,CentralNJ,3000.0
2005,ANDHRA PRADESH,Seattle,1500.0
2005,ANDHRA PRADESH,Seattle,3000.0
2006,ANDHRA PRADESH,Silicon Valley,3980.0
2006,ANDHRA PRADESH,Seattle,6550.0
2006,ANDHRA PRADESH,Boston,30000.0
2006,ANDHRA PRADESH,NYC/NJ,5000.0
2006,ANDHRA PRADESH,Seattle,3000.0
2006,ANDHRA PRADESH,Work an Hour,7360.0
2006,ANDHRA PRADESH,Toledo,18000.0
2006,ANDHRA PRADESH,UFlorida,1000.0
2006,ANDHRA PRADESH,Seattle,14800.0
2006,ANDHRA PRADESH,NYC/NJ,8000.0
2006,ANDHRA PRADESH,Boston,14000.0
2006,ANDHRA PRADESH,Berkeley,1500.0
2007,ANDHRA PRADESH,Seattle,27020.0
2007,ANDHRA PRADESH,CentralNJ,2500.0
2007,ANDHRA PRADESH,Work an Hour,3500.0
2007,ANDHRA PRADESH,Seattle,4600.0
2007,ANDHRA PRADESH,Atlanta,5600.0
2007,ANDHRA PRADESH,Toledo,5000.0
2007,ANDHRA PRADESH,Delaware,923.0
2007,ANDHRA PRADESH,DC,9517.0
2007,ANDHRA PRADESH,NYC/NJ,9000.0
2007,ANDHRA PRADESH,NYC/NJ,15000.0
2007,ANDHRA PRADESH,Silicon Valley,4460.0
2007,ANDHRA PRADESH,Boston,20730.0
2007,ANDHRA PRADESH,Bangalore,1890.0
2007,ANDHRA PRADESH,Silicon Valley,12294.0
2007,ANDHRA PRADESH,Princeton,4000.0
2007,ANDHRA PRADESH,Seattle,3500.0
2007,ANDHRA PRADESH,Silicon Valley,14170.0
2007,ANDHRA PRADESH,NYC/NJ,10000.0
2008,ANDHRA PRADESH,Knoxville,5032.0
2008,ANDHRA PRADESH,Seattle,13915.0
2008,ANDHRA PRADESH,Seattle,3230.0
2008,ANDHRA PRADESH,Seattle,4065.0
2008,ANDHRA PRADESH,Bangalore,1875.0
2008,ANDHRA PRADESH,San Francisco,7500.0
2008,ANDHRA PRADESH,Silicon Valley,35430.0
2008,ANDHRA PRADESH,Boston,19000.0
2008,ANDHRA PRADESH,Cincinnati,3230.0
2008,ANDHRA PRADESH,Silicon Valley,12873.0
2008,ANDHRA PRADESH,NYC/NJ,10507.0
2008,ANDHRA PRADESH,Boston,9730.0
2008,ANDHRA PRADESH,NYC/NJ,33216.0
2008,ANDHRA PRADESH,Silicon Valley,5850.0
2008,ANDHRA PRADESH,Work an Hour,26639.0
2008,ANDHRA PRADESH,Work an Hour,9956.0
2008,ANDHRA PRADESH,Delaware,1327.0
2008,ANDHRA PRADESH,NYC/NJ,10000.0
2008,ANDHRA PRADESH,CentralNJ,7360.0
2009,ANDHRA PRADESH,Knoxville,1250.0
2009,ANDHRA PRADESH,Silicon Valley,11570.0
2009,ANDHRA PRADESH,DC,9373.0
2009,ANDHRA PRADESH,Cincinnati,4170.0
2009,ANDHRA PRADESH,Seattle,2100.0
2009,ANDHRA PRADESH,NYC/NJ,10000.0
2009,ANDHRA PRADESH,Silicon Valley,16964.0
2009,ANDHRA PRADESH,Bangalore,6400.0
2009,ANDHRA PRADESH,NYC/NJ,10977.0
2009,ANDHRA PRADESH,NYC/NJ,9850.0
2009,ANDHRA PRADESH,CentralNJ,7876.0
2009,ANDHRA PRADESH,Seattle,15540.0
2009,ANDHRA PRADESH,New River Valley,2500.0
2009,ANDHRA PRADESH,Seattle,3560.0
2009,ANDHRA PRADESH,Princeton,4000.0
2009,ANDHRA PRADESH,Silicon Valley,29306.0
2009,ANDHRA PRADESH,Seattle,3330.0
2009,ANDHRA PRADESH,San Francisco,7325.0
2009,ANDHRA PRADESH,Boston,26450.0
2010,ANDHRA PRADESH,Boston,18550.0
2010,ANDHRA PRADESH,UFlorida,5000.0
2010,ANDHRA PRADESH,Knoxville,1250.0
2010,ANDHRA PRADESH,Silicon Valley,9587.0
2010,ANDHRA PRADESH,Kansas City,11300.0
2010,ANDHRA PRADESH,Seattle,8350.0
2010,ANDHRA PRADESH,Seattle,1625.0
2010,ANDHRA PRADESH,Silicon Valley,34694.0
2010,ANDHRA PRADESH,Hyderabad,16560.0
2010,ANDHRA PRADESH,NYC/NJ,10250.0
2010,ANDHRA PRADESH,Princeton,4260.0
2010,ANDHRA PRADESH,Silicon Valley,10277.0
2010,ANDHRA PRADESH,Bangalore,3049.0
2010,ANDHRA PRADESH,CentralNJ,9850.0
2010,ANDHRA PRADESH,Seattle,17230.0
2010,ANDHRA PRADESH,Dallas,1300.0
2010,ANDHRA PRADESH,Minnesota,3270.0
2010,ANDHRA PRADESH,Work an Hour,2500.0
2010,ANDHRA PRADESH,Seattle,4275.0
