state,year,chapter,chapter_amount
ANDAMAN AND NICOBAR ISLANDS,2005,Seattle,2680.0
ANDHRA PRADESH,1995,NYC/NJ,1500.0
ANDHRA PRADESH,1995,Stanford,1500.0
ANDHRA PRADESH,1996,NYC/NJ,2500.0
ANDHRA PRADESH,1996,Stanford,1500.0
ANDHRA PRADESH,1997,Arizona,3000.0
ANDHRA PRADESH,1997,Boston,2430.0
ANDHRA PRADESH,1997,Cleveland,1500.0
ANDHRA PRADESH,1997,NYC/NJ,2500.0
ANDHRA PRADESH,1998,Arizona,2100.0
ANDHRA PRADESH,1998,NYC/NJ,2500.0
ANDHRA PRADESH,1999,Arizona,3250.0
ANDHRA PRADESH,1999,Boston,7700.0
ANDHRA PRADESH,1999,Corvallis,1436.0
ANDHRA PRADESH,1999,NYC/NJ,5250.0
ANDHRA PRADESH,1999,Seattle,1680.0
ANDHRA PRADESH,1999,Silicon Valley,10000.0
ANDHRA PRADESH,2000,Arizona,2700.0
ANDHRA PRADESH,2000,Corvallis,510.0
ANDHRA PRADESH,2000,Delaware,2000.0
ANDHRA PRADESH,2000,NYC/NJ,9750.0
ANDHRA PRADESH,2000,Seattle,7800.0
ANDHRA PRADESH,2000,Silicon Valley,16948.0
ANDHRA PRADESH,2000,Work an Hour,5350.0
ANDHRA PRADESH,2001,Delaware,5000.0
ANDHRA PRADESH,2001,NYC/NJ,6100.0
ANDHRA PRADESH,2001,Portland,1500.0
ANDHRA PRADESH,2001,Seattle,15844.0
ANDHRA PRADESH,2001,Silicon Valley,24260.0
ANDHRA PRADESH,2001,Stanford,2500.0
ANDHRA PRADESH,2001,Work an Hour,5350.0
ANDHRA PRADESH,2002,Berkeley,1200.0
ANDHRA PRADESH,2002,Corvallis,1450.0
ANDHRA PRADESH,2002,Delaware,4000.0
ANDHRA PRADESH,2002,NYC/NJ,9500.0
ANDHRA PRADESH,2002,Portland,2000.0
ANDHRA PRADESH,2002,Seattle,16893.0
ANDHRA PRADESH,2002,Silicon Valley,19600.0
ANDHRA PRADESH,2002,Stanford,2500.0
ANDHRA PRADESH,2002,UIUC,2200.0
ANDHRA PRADESH,2002,Work an Hour,16447.0
ANDHRA PRADESH,2003,Berkeley,5056.0
ANDHRA PRADESH,2003,Boston,6000.0
ANDHRA PRADESH,2003,CentralNJ,2620.0
ANDHRA PRADESH,2003,Delaware,15351.0
ANDHRA PRADESH,2003,Houston,30645.0
ANDHRA PRADESH,2003,NYC/NJ,3716.0
ANDHRA PRADESH,2003,Seattle,59513.0
ANDHRA PRADESH,2003,Silicon Valley,2625.0
ANDHRA PRADESH,2004,Berkeley,8400.0
ANDHRA PRADESH,2004,Boston,6400.0
ANDHRA PRADESH,2004,Delaware,8000.0
ANDHRA PRADESH,2004,NYC/NJ,3500.0
ANDHRA PRADESH,2004,Seattle,41409.0
ANDHRA PRADESH,2004,Silicon Valley,55416.0
ANDHRA PRADESH,2004,Toledo,5500.0
ANDHRA PRADESH,2005,Berkeley,1500.0
ANDHRA PRADESH,2005,Boston,7000.0
ANDHRA PRADESH,2005,CentralNJ,9000.0
ANDHRA PRADESH,2005,Cincinnati,1000.0
ANDHRA PRADESH,2005,Cornell,1000.0
ANDHRA PRADESH,2005,Delaware,15725.0
ANDHRA PRADESH,2005,NYC/NJ,13500.0
ANDHRA PRADESH,2005,Seattle,7750.0
ANDHRA PRADESH,2005,Silicon Valley,6585.0
ANDHRA PRADESH,2005,Toledo,6584.0
ANDHRA PRADESH,2006,Berkeley,1500.0
ANDHRA PRADESH,2006,Boston,44000.0
ANDHRA PRADESH,2006,NYC/NJ,13000.0
ANDHRA PRADESH,2006,Seattle,24350.0
ANDHRA PRADESH,2006,Silicon Valley,3980.0
ANDHRA PRADESH,2006,Toledo,18000.0
ANDHRA PRADESH,2006,UFlorida,1000.0
ANDHRA PRADESH,2006,Work an Hour,7360.0
ANDHRA PRADESH,2007,Atlanta,5600.0
ANDHRA PRADESH,2007,Bangalore,1890.0
ANDHRA PRADESH,2007,Boston,20730.0
ANDHRA PRADESH,2007,CentralNJ,2500.0
ANDHRA PRADESH,2007,DC,9517.0
ANDHRA PRADESH,2007,Delaware,923.0
ANDHRA PRADESH,2007,NYC/NJ,34000.0
ANDHRA PRADESH,2007,Princeton,4000.0
ANDHRA PRADESH,2007,Seattle,35120.0
