year,currency,total_amount
1991,USD,2565.0
1992,USD,5635.0
1993,USD,17735.0
1994,USD,31195.0
1995,USD,38322.0
1996,USD,88575.0
1997,USD,108488.0
1998,USD,134855.0
1999,USD,512737.0
2000,USD,616506.0
2001,USD,841600.0
2002,CHF,5100.0
2002,GBP,8940.0
2002,USD,968516.0
2003,CHF,9250.0
2003,EUR,3650.0
2003,GBP,8000.0
2003,INR,146600.0
2003,USD,1014265.0
2004,EUR,4490.0
2004,GBP,11500.0
2004,INR,1005045.0
2004,USD,1133966.0
2005,EUR,2800.0
2005,GBP,21690.0
2005,INR,4857693.0
2005,USD,1571268.0
2006,CAD,7250.0
2006,CHF,5201.0
2006,EUR,19170.0
2006,GBP,18000.0
2006,INR,1396718.0
2006,USD,1304342.0
2007,CAD,5000.0
2007,CHF,16750.0
2007,EUR,8950.0
2007,GBP,5000.0
2007,INR,2570655.0
2007,USD,2401371.0
2008,CAD,23000.0
2008,CHF,17650.0
2008,EUR,4350.0
2008,GBP,20750.0
2008,INR,5296353.0
2008,USD,3217390.0
2009,CAD,34200.0
2009,EUR,2000.0
2009,GBP,19694.0
2009,INR,771200.0
2009,USD,2501264.0
2010,CAD,15520.0
2010,EUR,8300.0
2010,GBP,7600.0
2010,INR,3174450.0
2010,USD,3106520.0
2011,CAD,11600.0
2011,CHF,16750.0
2011,EUR,3355.0
2011,GBP,27734.0
2011,INR,1662750.0
2011,USD,2314861.0
2012,CAD,6000.0
2012,EUR,11400.0
2012,GBP,19831.0
2012,INR,2969907.0
2012,USD,1898166.0
2013,CAD,8300.0
2013,EUR,3493.0
2013,GBP,1200.0
2013,INR,664500.0
2013,USD,2560046.0
2014,CAD,11770.0
2014,CHF,5286.0
2014,EUR,14620.0
2014,INR,870900.0
2014,USD,2848928.0
2015,CHF,46815.0
2015,EUR,12170.0
2015,INR,7480424.0
2015,USD,2955749.0
2016,CHF,35729.0
2016,EUR,7750.0
2016,INR,3727160.0
2016,USD,3744826.0
2017,CHF,14758.0
2017,EUR,8200.0
2017,GBP,16511.0
2017,INR,5419803.0
2017,USD,4304886.0
2018,USD,3622848.0
2019,CHF,84245.0
2019,EUR,8459.0
2019,GBP,10153.0
2019,INR,16388579.0
2019,USD,3273488.0
2020,CHF,92733.0
2020,EUR,3000.0
2020,INR,7564995.0
2020,USD,3240754.0
2021,CAD,4332.0
2021,CHF,27025.0
2021,EUR,1890.0
2021,GBP,8757.0
2021,INR,5259050.0
2021,USD,3258459.0
2022,CAD,2000.0
2022,CHF,54212.0
2022,EUR,9854.0
2022,GBP,5297.0
2022,INR,20634995.0
2022,USD,3000077.0
2023,CAD,5832.0
2023,CHF,36735.0
2023,EUR,1200.0
2023,GBP,9213.0
2023,INR,28389670.0
2023,USD,3032802.0
2024,CHF,9406.0
2024,EUR,6800.0
2024,GBP,13395.0
2024,INR,35998475.0
2024,USD,3226586.0
2025,USD,1737731.0
