state,year,chapter,chapter_amount,state_total_amount,percentage,total_amount,state_chapter_percentage,% of Total,adjusted_population_chapter
ANDAMAN AND NICOBAR ISLANDS,2005,Seattle,2680,2680,100.0,1489248.0,0.17995659554352264,0.03,5.998553184784088
ANDHRA PRADESH,2005,Berkeley,1500,69644,2.153810809258515,1489248.0,0.10072197511764326,4.1,0.02456633539454714
ANDHRA PRADESH,2005,Boston,7000,69644,10.051117109873069,1489248.0,0.4700358838823353,4.1,0.11464289850788667
ANDHRA PRADESH,2005,CentralNJ,9000,69644,12.922864855551088,1489248.0,0.6043318507058596,4.1,0.14739801236728284
ANDHRA PRADESH,2005,Cincinnati,1000,69644,1.4358738728390097,1489248.0,0.06714798341176217,4.1,0.016377556929698094
ANDHRA PRADESH,2005,Cornell,1000,69644,1.4358738728390097,1489248.0,0.06714798341176217,4.1,0.016377556929698094
ANDHRA PRADESH,2005,Delaware,15725,69644,22.57911665039343,1489248.0,1.0559020391499603,4.1,0.25753708271950254
ANDHRA PRADESH,2005,NYC/NJ,13500,69644,19.38429728332663,1489248.0,0.9064977760587895,4.1,0.22109701855092428
ANDHRA PRADESH,2005,Seattle,7750,69644,11.128022514502328,1489248.0,0.5203968714411569,4.1,0.12692606620516023
ANDHRA PRADESH,2005,Silicon Valley,6585,69644,9.45522945264488,1489248.0,0.4421694707664539,4.1,0.10784621238206193
ANDHRA PRADESH,2005,Toledo,6584,69644,9.45379357877204,1489248.0,0.4421023227830422,4.1,0.10782983482513225
ANDHRA PRADESH,1995,NYC/NJ,1500,3000,50.0,29722.0,5.046766704797792,4.1,1.2309187084872666
ANDHRA PRADESH,1995,Stanford,1500,3000,50.0,29722.0,5.046766704797792,4.1,1.2309187084872666
ANDHRA PRADESH,1996,NYC/NJ,2500,4000,62.5,44636.0,5.600860292140873,4.1,1.366063485888018
ANDHRA PRADESH,1996,Stanford,1500,4000,37.5,44636.0,3.360516175284524,4.1,0.8196380915328108
ANDHRA PRADESH,1997,Arizona,3000,9430,31.81336161187699,87410.0,3.4321015902070697,4.1,0.8370979488309926
ANDHRA PRADESH,1997,Boston,2430,9430,25.76882290562036,87410.0,2.7800022880677266,4.1,0.6780493385531041
ANDHRA PRADESH,1997,Cleveland,1500,9430,15.906680805938494,87410.0,1.7160507951035349,4.1,0.4185489744154963
ANDHRA PRADESH,1997,NYC/NJ,2500,9430,26.51113467656416,87410.0,2.8600846585058917,4.1,0.6975816240258272
ANDHRA PRADESH,1998,Arizona,2100,4600,45.65217391304348,108275.0,1.9395058877857307,4.1,0.4730502165331051
ANDHRA PRADESH,1998,NYC/NJ,2500,4600,54.34782608695652,108275.0,2.308935580697298,4.1,0.5631550196822679
ANDHRA PRADESH,1999,Arizona,3250,29316,11.086096329649338,414817.0,0.783478015606882,4.1,0.19109219892850782
ANDHRA PRADESH,1999,Boston,7700,29316,26.26552053486151,414817.0,1.8562402215916898,4.1,0.4527415174613878
ANDHRA PRADESH,1999,Corvallis,1436,29316,4.898349024423522,414817.0,0.3461767478189177,4.1,0.0844333531265653
ANDHRA PRADESH,1999,NYC/NJ,5250,29316,17.908309455587393,414817.0,1.265618332903425,4.1,0.30868739826912805
ANDHRA PRADESH,1999,Seattle,1680,29316,5.730659025787966,414817.0,0.404997866529096,4.1,0.09877996744612098
ANDHRA PRADESH,1999,Silicon Valley,10000,29316,34.11106562969027,414817.0,2.410701586482714,4.1,0.587975996703101
ANDHRA PRADESH,2000,Arizona,2700,45058,5.992276621243731,528565.0,0.5108170234502852,4.1,0.12458951791470373
ANDHRA PRADESH,2000,Corvallis,510,45058,1.1318744729015937,528565.0,0.09648765998505388,4.1,0.023533575606110704
ANDHRA PRADESH,2000,Delaware,2000,45058,4.438723423143505,528565.0,0.3783829803335446,4.1,0.09228853178866943
ANDHRA PRADESH,2000,NYC/NJ,9750,45058,21.63877668782458,528565.0,1.8446170291260298,4.1,0.4499065924697634
ANDHRA PRADESH,2000,Seattle,7800,45058,17.311021350259665,528565.0,1.475693623300824,4.1,0.35992527397581076
ANDHRA PRADESH,2000,Silicon Valley,16948,45058,37.61374228771805,528565.0,3.206417375346457,4.1,0.7820530183771848
ANDHRA PRADESH,2000,Work an Hour,5350,45058,11.873585156908872,528565.0,1.012174472392232,4.1,0.24687182253469073
ANDHRA PRADESH,2001,Delaware,5000,60554,8.257092842751925,767448.0,0.651509939435636,4.1,0.1589048632769844
ANDHRA PRADESH,2001,NYC/NJ,6100,60554,10.073653268157347,767448.0,0.7948421261114759,4.1,0.19386393319792097
ANDHRA PRADESH,2001,Portland,1500,60554,2.477127852825577,767448.0,0.1954529818306908,4.1,0.04767145898309532
ANDHRA PRADESH,2001,Seattle,15844,60554,26.165075800112295,767448.0,2.0645046960836435,4.1,0.5035377307521082
ANDHRA PRADESH,2001,Silicon Valley,24260,60554,40.06341447303233,767448.0,3.161126226141706,4.1,0.7710063966199284
ANDHRA PRADESH,2001,Stanford,2500,60554,4.128546421375963,767448.0,0.325754969717818,4.1,0.0794524316384922
ANDHRA PRADESH,2001,Work an Hour,5350,60554,8.83508934174456,767448.0,0.6971156351961305,4.1,0.1700282037063733
ANDHRA PRADESH,2002,Berkeley,1200,75790,1.583322338039319,823818.0,0.1456632411527789,4.1,0.03552761979336071
ANDHRA PRADESH,2002,Corvallis,1450,75790,1.9131811584641771,823818.0,0.17600974972627448,4.1,0.04292920725031085
ANDHRA PRADESH,2002,Delaware,4000,75790,5.27774112679773,823818.0,0.48554413717592965,4.1,0.11842539931120236
ANDHRA PRADESH,2002,NYC/NJ,9500,75790,12.53463517614461,823818.0,1.153167325792833,4.1,0.2812603233641056
ANDHRA PRADESH,2002,Portland,2000,75790,2.638870563398865,823818.0,0.24277206858796482,4.1,0.05921269965560118
ANDHRA PRADESH,2002,Seattle,16893,75790,22.289220213748514,823818.0,2.050574277328245,4.1,0.5001400676410354
ANDHRA PRADESH,2002,Silicon Valley,19600,75790,25.86093152130888,823818.0,2.3791662721620552,4.1,0.5802844566248916
ANDHRA PRADESH,2002,Stanford,2500,75790,3.298588204248581,823818.0,0.303465085734956,4.1,0.07401587456950147
ANDHRA PRADESH,2002,UIUC,2200,75790,2.902757619738752,823818.0,0.26704927544676127,4.1,0.06513396962116129
ANDHRA PRADESH,2002,Work an Hour,16447,75790,21.70075207811057,823818.0,1.9964361060331288,4.1,0.4869356356178363
ANDHRA PRADESH,2003,Berkeley,5056,125526,4.027850803817536,942333.0,0.5365406920908001,4.1,0.13086358343678053
ANDHRA PRADESH,2003,Boston,6000,125526,4.779886238707519,942333.0,0.6367175934621837,4.1,0.15529697401516676
ANDHRA PRADESH,2003,CentralNJ,2620,125526,2.087216990902283,942333.0,0.27803334914515354,4.1,0.06781301198662282
ANDHRA PRADESH,2003,Delaware,15351,125526,12.229338941733186,942333.0,1.629041962872997,4.1,0.3973273080178042
ANDHRA PRADESH,2003,Houston,30645,125526,24.41326896419865,942333.0,3.252035108608103,4.1,0.7931792947824643
ANDHRA PRADESH,2003,NYC/NJ,3716,125526,2.960342877172857,942333.0,0.3943404295509124,4.1,0.09618059257339329
ANDHRA PRADESH,2003,Seattle,59513,125526,47.41089495403343,942333.0,6.31549568995249,4.1,1.5403648024274368
ANDHRA PRADESH,2003,Silicon Valley,2625,125526,2.0912002294345395,942333.0,0.2785639471397054,4.1,0.06794242613163547
ANDHRA PRADESH,2004,Berkeley,8400,128625,6.530612244897959,1053399.0,0.7974186419390943,4.1,0.19449235169246204
ANDHRA PRADESH,2004,Boston,6400,128625,4.975704567541302,1053399.0,0.6075570605250242,4.1,0.14818464890854252
ANDHRA PRADESH,2004,Delaware,8000,128625,6.219630709426627,1053399.0,0.7594463256562803,4.1,0.18523081113567816
ANDHRA PRADESH,2004,NYC/NJ,3500,128625,2.7210884353741496,1053399.0,0.3322577674746226,4.1,0.08103847987185918
ANDHRA PRADESH,2004,Seattle,41409,128625,32.1935860058309,1053399.0,3.9309891123876137,4.1,0.958777832289662
ANDHRA PRADESH,2004,Silicon Valley,55416,128625,43.08338192419825,1053399.0,5.260684697821053,4.1,1.2830938287368423
ANDHRA PRADESH,2004,Toledo,5500,128625,4.275996112730807,1053399.0,0.5221193488886927,4.1,0.1273461826557787
ANDHRA PRADESH,2006,Berkeley,1500,113190,1.32520540683806,1230346.0,0.12191692418230318,4.1,0.02973583516641541
ANDHRA PRADESH,2006,Boston,44000,113190,38.87269193391643,1230346.0,3.5762297760142268,4.1,0.8722511648815188
ANDHRA PRADESH,2006,NYC/NJ,13000,113190,11.485113525929853,1230346.0,1.0566133429132942,4.1,0.2577105714422669
ANDHRA PRADESH,2006,Seattle,24350,113190,21.51250110433784,1230346.0,1.979118069226055,4.1,0.4827117242014769
ANDHRA PRADESH,2006,Silicon Valley,3980,113190,3.516211679476985,1230346.0,0.3234862388303778,4.1,0.07889908264155557
ANDHRA PRADESH,2006,Toledo,18000,113190,15.90246488205672,1230346.0,1.4630030901876383,4.1,0.356830021996985
ANDHRA PRADESH,2006,UFlorida,1000,113190,0.8834702712253734,1230346.0,0.0812779494548688,4.1,0.019823890110943612
ANDHRA PRADESH,2006,Work an Hour,7360,113190,6.502341196218747,1230346.0,0.5982057079878343,4.1,0.145903831216545
ANDHRA PRADESH,2007,Atlanta,5600,153704,3.6433664706188513,2323618.0,0.24100346958923544,4.1,0.05878133404615499
ANDHRA PRADESH,2007,Bangalore,1890,153704,1.2296361838338623,2323618.0,0.08133867098636695,4.1,0.019838700240577305
ANDHRA PRADESH,2007,Boston,20730,153704,13.486961952844428,2323618.0,0.8921432008187232,4.1,0.217595902638713
ANDHRA PRADESH,2007,CentralNJ,2500,153704,1.6265028886691302,2323618.0,0.10759083463805152,4.1,0.026241666984890617
ANDHRA PRADESH,2007,DC,9517,153704,6.191771196585645,2323618.0,0.40957678930013447,4.1,0.09989677787808159
ANDHRA PRADESH,2007,Delaware,923,153704,0.6005048664966429,2323618.0,0.03972253614836862,4.1,0.009688423450821616
ANDHRA PRADESH,2007,NYC/NJ,34000,153704,22.12043928590017,2323618.0,1.4632353510775007,4.1,0.3568866709945124
ANDHRA PRADESH,2007,Princeton,4000,153704,2.6024046218706083,2323618.0,0.17214533542088242,4.1,0.041986667175824985
ANDHRA PRADESH,2007,Seattle,35120,153704,22.84911258002394,2323618.0,1.5114360449953477,4.1,0.36864293780374335
ANDHRA PRADESH,2007,Silicon Valley,30924,153704,20.119190131681677,2323618.0,1.330855588138842,4.1,0.32459892393630296
ANDHRA PRADESH,2007,Toledo,5000,153704,3.2530057773382604,2323618.0,0.21518166927610305,4.1,0.052483333969781235
ANDHRA PRADESH,2007,Work an Hour,3500,153704,2.2771040441367822,2323618.0,0.15062716849327212,4.1,0.03673833377884686
ANDHRA PRADESH,2008,Bangalore,1875,256360,0.7313933530972071,3092634.0,0.06062793075417266,4.1,0.014787300183944552
ANDHRA PRADESH,2008,Boston,28730,256360,11.20689655172414,3092634.0,0.9289815736359363,4.1,0.22658087161852106
ANDHRA PRADESH,2008,CentralNJ,7360,256360,2.8709627086909038,3092634.0,0.23798483752037908,4.1,0.05804508232204368
