state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDAMAN AND NICOBAR ISLANDS,All Chapters,2005,2680.0,1489248.0,0.1799565955435226,5.998553184784088
ANDAMAN AND NICOBAR ISLANDS,Seattle,2005,2680.0,603508.0,0.4440703354388012,14.802344514626707
ANDHRA PRADESH,All Chapters,1995,6000.0,29722.0,10.093533409595585,2.461837416974533
ANDHRA PRADESH,NYC/NJ,1995,1500.0,1500.0,100.0,24.390243902439025
ANDHRA PRADESH,Stanford,1995,1500.0,7150.0,20.97902097902098,5.116834385127069
ANDHRA PRADESH,All Chapters,1996,8000.0,44636.0,8.961376467425398,2.185701577420829
ANDHRA PRADESH,NYC/NJ,1996,2500.0,3500.0,71.42857142857143,17.421602787456447
ANDHRA PRADESH,Stanford,1996,1500.0,11500.0,13.043478260869565,3.181336161187699
ANDHRA PRADESH,All Chapters,1997,37720.0,87410.0,10.788239331884224,2.6312778858254204
ANDHRA PRADESH,Arizona,1997,3000.0,4000.0,75.0,18.29268292682927
ANDHRA PRADESH,Boston,1997,2430.0,12746.0,19.064804644594382,4.649952352340094
ANDHRA PRADESH,Cleveland,1997,1500.0,1500.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,1997,2500.0,4000.0,62.5,15.243902439024392
ANDHRA PRADESH,All Chapters,1998,9200.0,108275.0,4.248441468483029,1.0362052362153729
ANDHRA PRADESH,Arizona,1998,2100.0,3100.0,67.74193548387096,16.522423288749017
ANDHRA PRADESH,NYC/NJ,1998,2500.0,8738.0,28.61066605630579,6.978211233245315
ANDHRA PRADESH,All Chapters,1999,175896.0,414817.0,7.067212770932724,1.7237104319348109
ANDHRA PRADESH,Arizona,1999,3250.0,22353.0,14.53943542253836,3.5462037615947226
ANDHRA PRADESH,Boston,1999,7700.0,53835.0,14.302962756571002,3.4885275016026838
ANDHRA PRADESH,Corvallis,1999,1436.0,1436.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,1999,5250.0,36733.0,14.292325701685133,3.485933097971984
ANDHRA PRADESH,Seattle,1999,1680.0,86526.0,1.9416129255946188,0.4735641281938095
ANDHRA PRADESH,Silicon Valley,1999,10000.0,109233.0,9.154742614411395,2.2328640522954624
ANDHRA PRADESH,All Chapters,2000,315406.0,528565.0,8.524590163934427,2.0791683326669337
ANDHRA PRADESH,Arizona,2000,2700.0,11231.0,24.040601905440298,5.863561440351293
ANDHRA PRADESH,Corvallis,2000,510.0,2710.0,18.81918819188192,4.590045900459005
ANDHRA PRADESH,Delaware,2000,2000.0,2000.0,100.0,24.390243902439025
ANDHRA PRADESH,NYC/NJ,2000,9750.0,48894.0,19.9410970671248,4.863682211493854
ANDHRA PRADESH,Seattle,2000,7800.0,184881.0,4.218930014441722,1.0290073205955421
ANDHRA PRADESH,Silicon Valley,2000,16948.0,52273.0,32.42209171082585,7.907827246542892
