state,year,state_total_amount,state_percentage,pop_adj_units,total_amount
ANDAMAN AND NICOBAR ISLANDS,2005,2680,0.17995659554352264,5.998553184784088,1489248.0
ANDHRA PRADESH,1995,6000,10.093533409595585,2.461837416974533,29722.0
ANDHRA PRADESH,1996,8000,8.961376467425398,2.185701577420829,44636.0
ANDHRA PRADESH,1997,37720,10.788239331884224,2.6312778858254204,87410.0
ANDHRA PRADESH,1998,9200,4.248441468483029,1.0362052362153729,108275.0
ANDHRA PRADESH,1999,175896,7.067212770932724,1.7237104319348109,414817.0
ANDHRA PRADESH,2000,315406,8.524590163934427,2.0791683326669337,528565.0
ANDHRA PRADESH,2001,423878,7.890306574517101,1.9244650181749028,767448.0
ANDHRA PRADESH,2002,757900,9.199847539140928,2.2438652534490067,823818.0
ANDHRA PRADESH,2003,1004208,13.320768772822346,3.248967993371304,942333.0
ANDHRA PRADESH,2004,900375,12.21047295469238,2.978164135290825,1053399.0
ANDHRA PRADESH,2005,696440,4.676454156728766,1.140598574811894,1489248.0
ANDHRA PRADESH,2006,905520,9.199851098796598,2.243866121657707,1230346.0
ANDHRA PRADESH,2007,1844448,6.614856658882828,1.613379672898251,2323618.0
ANDHRA PRADESH,2008,2819960,8.289374041674508,2.02179854674988,3092634.0
ANDHRA PRADESH,2009,2190492,7.559319043838759,1.8437363521557948,2414781.0
ANDHRA PRADESH,2010,3444557,6.679954860581109,1.6292572830685632,3033269.0
ANDHRA PRADESH,2011,1139996,4.498283563399642,1.0971423325364982,2303901.0
ANDHRA PRADESH,2012,1737744,7.629048249731583,1.8607434755442886,1898166.0
ANDHRA PRADESH,2013,1976346,8.577736493797378,2.092130852145702,2560046.0
ANDHRA PRADESH,2014,1234384,5.416002089206887,1.320976119318753,2848928.0
ANDHRA PRADESH,2015,2848802,8.761975391009182,2.137067168538825,2955749.0
ANDHRA PRADESH,2016,3460512,8.400710740632542,2.048953839178669,3744826.0
ANDHRA PRADESH,2017,1955216,5.6773164260331175,1.3847113234227115,4304886.0
ANDHRA PRADESH,2018,1996110,6.121979172187186,1.4931656517529721,3622848.0
ANDHRA PRADESH,2019,1055439,4.6060043598754605,1.1234156975306002,3273488.0
ANDHRA PRADESH,2020,1230576,4.746488008654776,1.157680002110921,3240754.0
ANDHRA PRADESH,2021,1201466,5.267459249909236,1.284746158514448,3258459.0
ANDHRA PRADESH,2022,1012050,5.622355692870549,1.3713062665537927,3000077.0
ANDHRA PRADESH,2023,985410,5.4040172049351,1.3180529768134392,3039128.0
ANDHRA PRADESH,2024,141072,8.023487150203783,1.9569480854155572,879119.0
ASSAM,2000,9640,0.9119029826038424,0.3534507684511017,528565.0
ASSAM,2001,32610,1.4163826083330726,0.548985507105842,767448.0
ASSAM,2002,4800,0.5826529646111156,0.22583448240740914,823818.0
ASSAM,2003,64608,2.2853916821335982,0.8858107295091466,942333.0
ASSAM,2004,84412,2.0033244762905604,0.77648235515138,1053399.0
ASSAM,2005,129819,2.9056946861771844,1.126238250456273,1489248.0
ASSAM,2006,184208,3.7430121282956175,1.4507798946882238,1230346.0
ASSAM,2007,322885,2.7791573313685816,1.0771927640963495,2323618.0
ASSAM,2008,1671065,4.912155786944074,1.9039363515287107,3092634.0
ASSAM,2009,91731,1.2662431914115608,0.4907919346556437,2414781.0
ASSAM,2010,410544,3.3836761592855757,1.3115023873199907,3033269.0
ASSAM,2011,198120,2.1498319589253185,0.8332682011338443,2303901.0
ASSAM,2012,145779,2.5599973869514048,0.9922470492059707,1898166.0
ASSAM,2013,129942,1.6919227232635663,0.6557840012649482,2560046.0
ASSAM,2014,340648,2.9892647339630907,1.158629741846159,2848928.0
ASSAM,2015,595030,4.026255274043906,1.5605640597069401,2955749.0
ASSAM,2016,657595,3.512018982991466,1.3612476678261496,3744826.0
ASSAM,2017,236214,1.8290379814935864,0.7089294501913126,4304886.0
ASSAM,2018,1079526,4.256816736446023,1.6499289676147373,3622848.0
ASSAM,2019,714664,2.7289851070173468,1.0577461655105995,3273488.0
ASSAM,2020,706422,3.633012564360022,1.4081444047907061,3240754.0
ASSAM,2021,385336,2.95642817663196,1.1459023940433952,3258459.0
ASSAM,2022,429000,3.574908244021737,1.385623350396022,3000077.0
ASSAM,2023,513616,4.225027705315473,1.6376076377191753,3039128.0
BIHAR,1998,2500,2.308935580697298,0.26848088147643,108275.0
BIHAR,1999,13100,1.5790095391461778,0.18360576036583462,414817.0
BIHAR,2000,8000,0.7567659606670892,0.08799604193803363,528565.0
BIHAR,2001,7100,0.46257205699930154,0.05378744848829088,767448.0
BIHAR,2002,1533,0.18608479057267502,0.021637766345659885,823818.0
BIHAR,2003,4000,0.2122391978207279,0.024678976490782316,942333.0
BIHAR,2004,6606,0.3135564017053367,0.03646004670992288,1053399.0
BIHAR,2005,14958,0.3347998452910462,0.03893021456872631,1489248.0
BIHAR,2006,1360,0.11053801125862155,0.012853257123095528,1230346.0
BIHAR,2007,22275,0.319544778875013,0.037156369636629424,2323618.0
BIHAR,2008,151712,1.2263979507436056,0.14260441287716344,3092634.0
BIHAR,2009,88407,1.2203591133108966,0.14190222247801124,2414781.0
BIHAR,2010,58784,0.9689875840223865,0.11267297488632401,3033269.0
BIHAR,2011,1200,0.05208557138522879,0.006056461788980092,2303901.0
BIHAR,2012,110760,1.4587765242871278,0.16962517724268927,1898166.0
BIHAR,2013,109744,1.071699492899737,0.12461622010462059,2560046.0
BIHAR,2014,410920,3.605917734670725,0.4192927598454332,2848928.0
BIHAR,2015,336300,3.792608912326452,0.44100103631702936,2955749.0
BIHAR,2016,51380,0.686013181920869,0.07976897464196152,3744826.0
BIHAR,2017,146586,1.1350358638997642,0.1319809144069493,4304886.0
BIHAR,2018,50594,0.698262803186885,0.08119334920777733,3622848.0
