state,year,chapter,chapter_amount,state_total_amount,percentage,Population,% of Total
ANDAMAN AND NICOBAR ISLANDS,2005,Seattle,2680.0,2680.0,100.0,380581,0.03
ANDHRA PRADESH,1995,NYC/NJ,1500.0,3000.0,50.0,49577103,4.1
ANDHRA PRADESH,1995,Stanford,1500.0,3000.0,50.0,49577103,4.1
ANDHRA PRADESH,1996,NYC/NJ,2500.0,4000.0,62.5,49577103,4.1
ANDHRA PRADESH,1996,Stanford,1500.0,4000.0,37.5,49577103,4.1
ANDHRA PRADESH,1997,Arizona,3000.0,9430.0,31.81336161187699,49577103,4.1
ANDHRA PRADESH,1997,Boston,2430.0,9430.0,25.768822905620357,49577103,4.1
ANDHRA PRADESH,1997,Cleveland,1500.0,9430.0,15.906680805938494,49577103,4.1
ANDHRA PRADESH,1997,NYC/NJ,2500.0,9430.0,26.511134676564158,49577103,4.1
ANDHRA PRADESH,1998,Arizona,2100.0,4600.0,45.65217391304348,49577103,4.1
ANDHRA PRADESH,1998,NYC/NJ,2500.0,4600.0,54.347826086956516,49577103,4.1
ANDHRA PRADESH,1999,Arizona,3250.0,29316.0,11.086096329649338,49577103,4.1
ANDHRA PRADESH,1999,Boston,7700.0,29316.0,26.26552053486151,49577103,4.1
ANDHRA PRADESH,1999,Corvallis,1436.0,29316.0,4.898349024423522,49577103,4.1
ANDHRA PRADESH,1999,NYC/NJ,5250.0,29316.0,17.908309455587393,49577103,4.1
ANDHRA PRADESH,1999,Seattle,1680.0,29316.0,5.730659025787966,49577103,4.1
ANDHRA PRADESH,1999,Silicon Valley,10000.0,29316.0,34.11106562969027,49577103,4.1
ANDHRA PRADESH,2000,Arizona,2700.0,45058.0,5.992276621243731,49577103,4.1
ANDHRA PRADESH,2000,Corvallis,510.0,45058.0,1.1318744729015935,49577103,4.1
ANDHRA PRADESH,2000,Delaware,2000.0,45058.0,4.438723423143505,49577103,4.1
ANDHRA PRADESH,2000,NYC/NJ,9750.0,45058.0,21.63877668782458,49577103,4.1
ANDHRA PRADESH,2000,Seattle,7800.0,45058.0,17.311021350259665,49577103,4.1
ANDHRA PRADESH,2000,Silicon Valley,16948.0,45058.0,37.613742287718054,49577103,4.1
ANDHRA PRADESH,2000,Work an Hour,5350.0,45058.0,11.873585156908872,49577103,4.1
ANDHRA PRADESH,2001,Delaware,5000.0,60554.0,8.257092842751925,49577103,4.1
ANDHRA PRADESH,2001,NYC/NJ,6100.0,60554.0,10.073653268157347,49577103,4.1
ANDHRA PRADESH,2001,Portland,1500.0,60554.0,2.477127852825577,49577103,4.1
ANDHRA PRADESH,2001,Seattle,15844.0,60554.0,26.165075800112298,49577103,4.1
ANDHRA PRADESH,2001,Silicon Valley,24260.0,60554.0,40.06341447303233,49577103,4.1
ANDHRA PRADESH,2001,Stanford,2500.0,60554.0,4.128546421375963,49577103,4.1
ANDHRA PRADESH,2001,Work an Hour,5350.0,60554.0,8.83508934174456,49577103,4.1
ANDHRA PRADESH,2002,Berkeley,1200.0,75790.0,1.5833223380393193,49577103,4.1
ANDHRA PRADESH,2002,Corvallis,1450.0,75790.0,1.9131811584641774,49577103,4.1
ANDHRA PRADESH,2002,Delaware,4000.0,75790.0,5.27774112679773,49577103,4.1
ANDHRA PRADESH,2002,NYC/NJ,9500.0,75790.0,12.53463517614461,49577103,4.1
ANDHRA PRADESH,2002,Portland,2000.0,75790.0,2.638870563398865,49577103,4.1
ANDHRA PRADESH,2002,Seattle,16893.0,75790.0,22.289220213748514,49577103,4.1
ANDHRA PRADESH,2002,Silicon Valley,19600.0,75790.0,25.860931521308878,49577103,4.1
ANDHRA PRADESH,2002,Stanford,2500.0,75790.0,3.2985882042485812,49577103,4.1
ANDHRA PRADESH,2002,UIUC,2200.0,75790.0,2.9027576197387517,49577103,4.1
ANDHRA PRADESH,2002,Work an Hour,16447.0,75790.0,21.70075207811057,49577103,4.1
ANDHRA PRADESH,2003,Berkeley,5056.0,125526.0,4.027850803817536,49577103,4.1
ANDHRA PRADESH,2003,Boston,6000.0,125526.0,4.779886238707519,49577103,4.1
ANDHRA PRADESH,2003,CentralNJ,2620.0,125526.0,2.087216990902283,49577103,4.1
ANDHRA PRADESH,2003,Delaware,15351.0,125526.0,12.229338941733186,49577103,4.1
ANDHRA PRADESH,2003,Houston,30645.0,125526.0,24.413268964198654,49577103,4.1
ANDHRA PRADESH,2003,NYC/NJ,3716.0,125526.0,2.960342877172857,49577103,4.1
ANDHRA PRADESH,2003,Seattle,59513.0,125526.0,47.41089495403343,49577103,4.1
ANDHRA PRADESH,2003,Silicon Valley,2625.0,125526.0,2.0912002294345395,49577103,4.1
ANDHRA PRADESH,2004,Berkeley,8400.0,128625.0,6.530612244897959,49577103,4.1
ANDHRA PRADESH,2004,Boston,6400.0,128625.0,4.975704567541302,49577103,4.1
ANDHRA PRADESH,2004,Delaware,8000.0,128625.0,6.219630709426627,49577103,4.1
ANDHRA PRADESH,2004,NYC/NJ,3500.0,128625.0,2.7210884353741496,49577103,4.1
ANDHRA PRADESH,2004,Seattle,41409.0,128625.0,32.1935860058309,49577103,4.1
ANDHRA PRADESH,2004,Silicon Valley,55416.0,128625.0,43.08338192419825,49577103,4.1
ANDHRA PRADESH,2004,Toledo,5500.0,128625.0,4.275996112730807,49577103,4.1
