state,year,state_total_amount,state_percentage,pop_adj_units,total_amount,tn_pop_adj_units,ratio_to_tn
ANDAMAN AND NICOBAR ISLANDS,2005,2680,0.1799565955435226,5.998553184784088,1489248.0,5.866683258077118,0.978016377842332
ANDHRA PRADESH,1995,6000,10.093533409595585,2.461837416974533,29722.0,3.755155718156031,1.5253467561521252
ANDHRA PRADESH,1996,8000,8.961376467425398,2.185701577420829,44636.0,4.723141581929535,2.1609270134228185
ANDHRA PRADESH,1997,37720,10.788239331884224,2.6312778858254204,87410.0,5.829581951598922,2.215494601692442
ANDHRA PRADESH,1998,9200,4.248441468483029,1.0362052362153729,108275.0,5.5151018333568365,5.3224029763641685
ANDHRA PRADESH,1999,175896,7.067212770932724,1.7237104319348109,414817.0,4.070000431822988,2.3611857052199543
ANDHRA PRADESH,2000,315406,8.524590163934427,2.0791683326669337,528565.0,4.530945728262485,2.17921062815086
ANDHRA PRADESH,2001,423878,7.890306574517101,1.9244650181749028,767448.0,3.511551122559496,1.824689505600747
ANDHRA PRADESH,2002,757900,9.199847539140928,2.2438652534490067,823818.0,3.083612606752703,1.3742414354039019
ANDHRA PRADESH,2003,1004208,13.320768772822346,3.248967993371304,942333.0,3.94469339936166,1.2141373529717152
ANDHRA PRADESH,2004,900375,12.21047295469238,2.978164135290825,1053399.0,4.236254679331402,1.422438283079291
ANDHRA PRADESH,2005,696440,4.676454156728766,1.140598574811894,1489248.0,5.866683258077118,5.143512702569038
ANDHRA PRADESH,2006,905520,9.199851098796598,2.243866121657707,1230346.0,3.639192912362067,1.6218404820308667
ANDHRA PRADESH,2007,1844448,6.614856658882828,1.613379672898251,2323618.0,3.752486698581218,2.3258547021609037
ANDHRA PRADESH,2008,2819960,8.289374041674508,2.02179854674988,3092634.0,3.4415234661526317,1.7022088930101442
ANDHRA PRADESH,2009,2190492,7.559319043838759,1.8437363521557948,2414781.0,3.316480387042699,1.7987823384644412
ANDHRA PRADESH,2010,3444557,6.679954860581109,1.6292572830685632,3033269.0,3.667682330216661,2.2511376001394345
ANDHRA PRADESH,2011,1139996,4.498283563399642,1.0971423325364982,2303901.0,3.5039927275491825,3.1937448985750594
ANDHRA PRADESH,2012,1737744,7.629048249731583,1.8607434755442889,1898166.0,3.238926487055499,1.7406625521597359
ANDHRA PRADESH,2013,1976346,8.577736493797378,2.092130852145702,2560046.0,3.402931460538406,1.6265385394266036
ANDHRA PRADESH,2014,1234384,5.416002089206887,1.320976119318753,2848928.0,3.2665648460372725,2.4728417102058504
