state,year,chapter,chapter_amount,state_total_amount,percentage
ANDAMAN AND NICOBAR ISLANDS,2005,Seattle,2680,2680,100
ANDHRA PRADESH,1995,NYC/NJ,1500,3000,50
ANDHRA PRADESH,1995,Stanford,1500,3000,50
ANDHRA PRADESH,1996,NYC/NJ,2500,4000,62.5
ANDHRA PRADESH,1996,Stanford,1500,4000,37.5
ANDHRA PRADESH,1997,Arizona,3000,9430,31.81336161187699
ANDHRA PRADESH,1997,Boston,2430,9430,25.768822905620357
ANDHRA PRADESH,1997,Cleveland,1500,9430,15.906680805938494
ANDHRA PRADESH,1997,NYC/NJ,2500,9430,26.511134676564158
ANDHRA PRADESH,1998,Arizona,2100,4600,45.65217391304348
ANDHRA PRADESH,1998,NYC/NJ,2500,4600,54.347826086956516
ANDHRA PRADESH,1999,Arizona,3250,29316,11.086096329649338
ANDHRA PRADESH,1999,Boston,7700,29316,26.26552053486151
ANDHRA PRADESH,1999,Corvallis,1436,29316,4.898349024423522
ANDHRA PRADESH,1999,NYC/NJ,5250,29316,17.908309455587393
ANDHRA PRADESH,1999,Seattle,1680,29316,5.730659025787966
ANDHRA PRADESH,1999,Silicon Valley,10000,29316,34.11106562969027
ANDHRA PRADESH,2000,Arizona,2700,45058,5.992276621243731
ANDHRA PRADESH,2000,Corvallis,510,45058,1.1318744729015935
ANDHRA PRADESH,2000,Delaware,2000,45058,4.438723423143505
ANDHRA PRADESH,2000,NYC/NJ,9750,45058,21.63877668782458
ANDHRA PRADESH,2000,Seattle,7800,45058,17.311021350259665
ANDHRA PRADESH,2000,Silicon Valley,16948,45058,37.613742287718054
ANDHRA PRADESH,2000,Work an Hour,5350,45058,11.873585156908872
ANDHRA PRADESH,2001,Delaware,5000,60554,8.257092842751925
ANDHRA PRADESH,2001,NYC/NJ,6100,60554,10.073653268157347
ANDHRA PRADESH,2001,Portland,1500,60554,2.477127852825577
ANDHRA PRADESH,2001,Seattle,15844,60554,26.165075800112298
ANDHRA PRADESH,2001,Silicon Valley,24260,60554,40.06341447303233
ANDHRA PRADESH,2001,Stanford,2500,60554,4.128546421375963
ANDHRA PRADESH,2001,Work an Hour,5350,60554,8.83508934174456
ANDHRA PRADESH,2002,Berkeley,1200,75790,1.5833223380393193
ANDHRA PRADESH,2002,Corvallis,1450,75790,1.9131811584641774
