state,year,state_total_amount,total_amount,percentage
MAHARASHTRA,1991,500.0,1500.0,33.33333333333333
TAMIL NADU,1991,1000.0,1500.0,66.66666666666666
MAHARASHTRA,1992,900.0,4900.0,18.367346938775512
RAJASTHAN,1992,2000.0,4900.0,40.816326530612244
TAMIL NADU,1992,2000.0,4900.0,40.816326530612244
MAHARASHTRA,1993,1620.0,11820.0,13.705583756345177
ODISHA,1993,2000.0,11820.0,16.920473773265652
PUNJAB,1993,2200.0,11820.0,18.61252115059222
RAJASTHAN,1993,2000.0,11820.0,16.920473773265652
TAMIL NADU,1993,4000.0,11820.0,33.840947546531304
KARNATAKA,1994,5700.0,21270.0,26.79830747531735
MADHYA PRADESH,1994,1300.0,21270.0,6.11189468735308
MAHARASHTRA,1994,240.0,21270.0,1.1283497884344147
ODISHA,1994,1200.0,21270.0,5.6417489421720735
PUNJAB,1994,1200.0,21270.0,5.6417489421720735
RAJASTHAN,1994,1500.0,21270.0,7.052186177715091
TAMIL NADU,1994,6880.0,21270.0,32.34602726845322
WEST BENGAL,1994,3250.0,21270.0,15.2797367183827
ANDHRA PRADESH,1995,3000.0,29722.0,10.093533409595585
KARNATAKA,1995,5350.0,29722.0,18.00013458044546
MAHARASHTRA,1995,3520.0,29722.0,11.843079200592154
ODISHA,1995,1200.0,29722.0,4.037413363838234
PUNJAB,1995,2000.0,29722.0,6.729022273063724
RAJASTHAN,1995,1000.0,29722.0,3.364511136531862
TAMIL NADU,1995,6652.0,29722.0,22.38072808020995
WEST BENGAL,1995,7000.0,29722.0,23.551577955723033
ANDHRA PRADESH,1996,4000.0,44636.0,8.961376467425398
GUJARAT,1996,3000.0,44636.0,6.721032350569048
KARNATAKA,1996,4900.0,44636.0,10.977686172596112
MAHARASHTRA,1996,3071.0,44636.0,6.880096782865848
ODISHA,1996,1200.0,44636.0,2.688412940227619
PUNJAB,1996,1200.0,44636.0,2.688412940227619
RAJASTHAN,1996,5000.0,44636.0,11.201720584281746
TAMIL NADU,1996,12565.0,44636.0,28.14992382830003
UTTAR PRADESH,1996,1700.0,44636.0,3.808584998655794
WEST BENGAL,1996,8000.0,44636.0,17.922752934850795
ANDHRA PRADESH,1997,9430.0,87410.0,10.788239331884224
GUJARAT,1997,3000.0,87410.0,3.4321015902070697
HARYANA,1997,2800.0,87410.0,3.203294817526599
JHARKHAND,1997,2762.0,87410.0,3.159821530717309
KARNATAKA,1997,7236.0,87410.0,8.278229035579452
MAHARASHTRA,1997,13212.0,87410.0,15.114975403271938
ODISHA,1997,1500.0,87410.0,1.7160507951035349
PUNJAB,1997,1500.0,87410.0,1.7160507951035349
RAJASTHAN,1997,2500.0,87410.0,2.8600846585058917
TAMIL NADU,1997,30370.0,87410.0,34.744308431529575
UTTAR PRADESH,1997,1300.0,87410.0,1.4872440224230636
WEST BENGAL,1997,11800.0,87410.0,13.49959958814781
ANDHRA PRADESH,1998,4600.0,108275.0,4.24844146848303
BIHAR,1998,2500.0,108275.0,2.308935580697298
DELHI,1998,7500.0,108275.0,6.9268067420918955
GUJARAT,1998,325.0,108275.0,0.30016162549064884
HARYANA,1998,2125.0,108275.0,1.9625952435927037
JHARKHAND,1998,9697.0,108275.0,8.955899330408682
KARNATAKA,1998,10700.0,108275.0,9.882244285384438
KERALA,1998,2000.0,108275.0,1.8471484645578389
MAHARASHTRA,1998,7480.0,108275.0,6.908335257446317
PUDUCHERRY,1998,2000.0,108275.0,1.8471484645578389
RAJASTHAN,1998,600.0,108275.0,0.5541445393673516
TAMIL NADU,1998,35590.0,108275.0,32.870006926806745
UTTAR PRADESH,1998,14670.0,108275.0,13.548833987531747
WEST BENGAL,1998,8488.0,108275.0,7.8392980835834685
ANDHRA PRADESH,1999,29316.0,414817.0,7.067212770932725
BIHAR,1999,6550.0,414817.0,1.5790095391461776
DELHI,1999,17700.0,414817.0,4.266941808074404
GUJARAT,1999,9325.0,414817.0,2.247979229395131
HARYANA,1999,1750.0,414817.0,0.421872777634475
JHARKHAND,1999,12080.0,414817.0,2.9121275164711182
KARNATAKA,1999,30478.0,414817.0,7.347336295282016
KERALA,1999,3903.0,414817.0,0.9408968292042033
MAHARASHTRA,1999,37478.0,414817.0,9.034827405819916
ODISHA,1999,56673.0,414817.0,13.662169101073484
PUNJAB,1999,1500.0,414817.0,0.3616052379724071
RAJASTHAN,1999,3000.0,414817.0,0.7232104759448142
TAMIL NADU,1999,100623.0,414817.0,24.257202573665012
TELANGANA,1999,2100.0,414817.0,0.5062473331613699
UTTAR PRADESH,1999,55731.0,414817.0,13.435081011626815
UTTARAKHAND,1999,7300.0,414817.0,1.7598121581323813
WEST BENGAL,1999,39310.0,414817.0,9.47646793646355
ANDHRA PRADESH,2000,45058.0,528565.0,8.524590163934425
ASSAM,2000,4820.0,528565.0,0.9119029826038424
BIHAR,2000,4000.0,528565.0,0.7567659606670892
DELHI,2000,10900.0,528565.0,2.062187242817818
GUJARAT,2000,20350.0,528565.0,3.8500468248938167
HARYANA,2000,2500.0,528565.0,0.4729787254169307
JHARKHAND,2000,22265.0,528565.0,4.212348528563186
KARNATAKA,2000,47998.0,528565.0,9.080813145024736
KERALA,2000,2000.0,528565.0,0.3783829803335446
MADHYA PRADESH,2000,8900.0,528565.0,1.6838042624842735
MAHARASHTRA,2000,97637.0,528565.0,18.472089525413146
MANIPUR,2000,2750.0,528565.0,0.5202765979586238
ODISHA,2000,16800.0,528565.0,3.178417034801775
PUNJAB,2000,1500.0,528565.0,0.2837872352501584
RAJASTHAN,2000,14500.0,528565.0,2.7432766074181982
TAMIL NADU,2000,142736.0,528565.0,27.00443654044441
TELANGANA,2000,11740.0,528565.0,2.221108094557907
UTTAR PRADESH,2000,33263.0,528565.0,6.293076537417347
WEST BENGAL,2000,38848.0,528565.0,7.34971100999877
ANDHRA PRADESH,2001,60554.0,767448.0,7.8903065745171
ASSAM,2001,10870.0,767448.0,1.4163826083330726
BIHAR,2001,3550.0,767448.0,0.4625720569993016
DELHI,2001,15733.0,767448.0,2.050041175428172
GOA,2001,2200.0,767448.0,0.2866643733516798
GUJARAT,2001,6000.0,767448.0,0.7818119273227632
HARYANA,2001,5700.0,767448.0,0.7427213309566251
JHARKHAND,2001,9520.0,767448.0,1.240474924685451
KARNATAKA,2001,78340.0,767448.0,10.207857731077546
KERALA,2001,26450.0,767448.0,3.446487579614515
MADHYA PRADESH,2001,14200.0,767448.0,1.8502882279972064
MAHARASHTRA,2001,123728.0,767448.0,16.122004357298476
ODISHA,2001,20150.0,767448.0,2.625585055925613
RAJASTHAN,2001,15262.0,767448.0,1.9886689391333354
TAMIL NADU,2001,160618.0,767448.0,20.9288446904546
TELANGANA,2001,2500.0,767448.0,0.325754969717818
UTTAR PRADESH,2001,118341.0,767448.0,15.42006754855052
UTTARAKHAND,2001,28463.0,767448.0,3.7087854812313017
WEST BENGAL,2001,65269.0,767448.0,8.504680447404905
ANDHRA PRADESH,2002,75790.0,823818.0,9.199847539140926
ASSAM,2002,4800.0,823818.0,0.5826529646111156
BIHAR,2002,1533.0,823818.0,0.18608479057267502
DELHI,2002,19234.0,823818.0,2.3347389836104577
GOA,2002,2000.0,823818.0,0.24277206858796482
GUJARAT,2002,15152.0,823818.0,1.8392411916224216
HARYANA,2002,4200.0,823818.0,0.5098213440347261
JHARKHAND,2002,7305.0,823818.0,0.8867249805175415
KARNATAKA,2002,105030.0,823818.0,12.749175181896971
KERALA,2002,34883.0,823818.0,4.234309034276988
MADHYA PRADESH,2002,19000.0,823818.0,2.306334651585666
MAHARASHTRA,2002,104018.0,823818.0,12.626332515191462
ODISHA,2002,21158.0,823818.0,2.56828571359208
PUDUCHERRY,2002,2000.0,823818.0,0.24277206858796482
PUNJAB,2002,1000.0,823818.0,0.12138603429398241
RAJASTHAN,2002,56916.0,823818.0,6.908807527876302
SIKKIM,2002,1130.0,823818.0,0.13716621875220011
TAMIL NADU,2002,151404.0,823818.0,18.37833113624611
UTTAR PRADESH,2002,90612.0,823818.0,10.999031339446335
UTTARAKHAND,2002,21464.0,823818.0,2.6054298400860385
WEST BENGAL,2002,85189.0,823818.0,10.340754875470068
ANDHRA PRADESH,2003,125526.0,942333.0,13.320768772822348
ASSAM,2003,21536.0,942333.0,2.2853916821335982
BIHAR,2003,2000.0,942333.0,0.2122391978207279
DELHI,2003,6350.0,942333.0,0.6738594530808112
GOA,2003,4000.0,942333.0,0.4244783956414558
GUJARAT,2003,27187.0,942333.0,2.885073535576065
HARYANA,2003,1900.0,942333.0,0.2016272379296915
JAMMU AND KASHMIR,2003,4000.0,942333.0,0.4244783956414558
JHARKHAND,2003,6300.0,942333.0,0.6685534731352929
KARNATAKA,2003,75792.0,942333.0,8.043016640614304
KERALA,2003,23710.0,942333.0,2.5160956901647293
MADHYA PRADESH,2003,6240.0,942333.0,0.6621862972006711
MAHARASHTRA,2003,142833.0,942333.0,15.157380671164015
MANIPUR,2003,4000.0,942333.0,0.4244783956414558
ODISHA,2003,19705.0,942333.0,2.091086696528722
PUNJAB,2003,1000.0,942333.0,0.10611959891036395
RAJASTHAN,2003,37681.0,942333.0,3.9986926065414243
SIKKIM,2003,198.0,942333.0,0.021011680584252065
TAMIL NADU,2003,221546.0,942333.0,23.510372660195493
TELANGANA,2003,6000.0,942333.0,0.6367175934621837
UTTAR PRADESH,2003,93951.0,942333.0,9.970042437227605
UTTARAKHAND,2003,5168.0,942333.0,0.548426087168761
WEST BENGAL,2003,105710.0,942333.0,11.217902800814574
ANDHRA PRADESH,2004,128625.0,1053399.0,12.210472954692381
ASSAM,2004,21103.0,1053399.0,2.00332447629056
BIHAR,2004,3303.0,1053399.0,0.3135564017053367
DELHI,2004,6776.0,1053399.0,0.6432510378308695
GUJARAT,2004,10100.0,1053399.0,0.9588009861410538
HARYANA,2004,2145.0,1053399.0,0.20362654606659014
JAMMU AND KASHMIR,2004,4000.0,1053399.0,0.37972316282814017
JHARKHAND,2004,7373.0,1053399.0,0.6999247198829693
KARNATAKA,2004,73746.0,1053399.0,7.000766091481006
KERALA,2004,2200.0,1053399.0,0.20884773955547709
MADHYA PRADESH,2004,7137.0,1053399.0,0.6775210532761091
MAHARASHTRA,2004,151340.0,1053399.0,14.366825865602683
MANIPUR,2004,4000.0,1053399.0,0.37972316282814017
ODISHA,2004,62215.0,1053399.0,5.906119143838185
RAJASTHAN,2004,41165.0,1053399.0,3.9078259994550972
TAMIL NADU,2004,265963.0,1053399.0,25.248077888815157
TELANGANA,2004,3300.0,1053399.0,0.31327160933321563
TRIPURA,2004,10500.0,1053399.0,0.9967733024238679
UTTAR PRADESH,2004,103309.0,1053399.0,9.807205057153084
UTTARAKHAND,2004,8330.0,1053399.0,0.7907734865896018
