year,total_amount
1991,1500.0
1992,4900.0
1993,11820.0
1994,21270.0
1995,29722.0
1996,44636.0
1997,87410.0
1998,108275.0
1999,414817.0
2000,528565.0
2001,767448.0
2002,823818.0
2003,942333.0
2004,1053399.0
2005,1489248.0
2006,1230346.0
2007,2323618.0
2008,3092634.0
2009,2414781.0
2010,3033269.0
2011,2303901.0
2012,1898166.0
2013,2560046.0
2014,2848928.0
2015,2955749.0
2016,3744826.0
2017,4304886.0
2018,3622848.0
2019,3273488.0
2020,3240754.0
2021,3258459.0
2022,3000077.0
2023,3039128.0
2024,879119.0
